آخر	اواخر
عفیف	اعفا
عقبه	اعقاب
عقبه	عقبات
عقد	عقود
عقده	عقد
عقرب	عقارب
عقل	عقلا
عقل	عقول
عقوبه	عقوبات
عقود	عقودات
عقیده	عقائد
عقیده	عقاید
علاقه	علائق
علاقه	علاقات
علاقه	علایق
علامت	علائم
علامت	علامات
علامت	علایم
علت	علل
علف	علوفه
علق	اعلاق
علم	اعلام
علم	اعلوم
علم	علوم
علوفه	علوفات
عم	اعمام
عمارت	عمارات
عمامه	عمائم
عمامه	عمایم
عمر	اعمار
عمق	اعماق
عمل	اعمال
عمله	عمال
عمله	عملجات
عنایت	عنایات
عنب	اعناب
عنصر	عناصر
عنق	اعناق
عنوان	عناوین
عنکبوت	عناکب
عهد	عهود
عود	اعواد
عون	اعوان
عیب	عیوب
عیب	عیوبات
عیب	معایب
عید	اعیاد
عین	اعیان
عین	اعین
عین	عیون
غائب	غایبین
غائله	غوائل
غایله	غوایل‌‌
غابه	غاب
غار	اغوار
غارت	غارات
غازی	غزات
غاشیه	غواشی
غامضه	غوامض
غایب	غائبین
غایب	غایبین
غایت	غایات
غایله	غوائل
غایله	غوایل
غبی	اغبیا
غده	غدد
غذا	اغذیه
غرامت	غرامات
غربا	غریب
غرباء	غریب
غربی	غربیون
غرس	اغراس
غرض	اغراض
غرفه	غرف
غرفه	غرفات
غره	غرر
غریب	غربا
غریبه	غرائب
غریبه	غرایب
غریزه	غرائز
غریزه	غرایز
غریم	غرما
غریم	غرماء
غزا	غزوات
غزاء	غزوات
غزل	غزلیات
غشا	اغشیه
غشاء	اغشیه
غصن	اغصان
غصن	غصون
غضروف	غضاریف
غطا	اغطیه
غل	اغلال
غل	غلال
غلام	اغلمه
غلام	غلمان
غلط	اغلاط
غله	غلات
غم	غموم
غمر	اغمار
غنی	اغنیا
غنیمت	غنایم
غواشیه	غواشی
غول	اغوال
غول	غلان
غول	غیلان
غوک	غوکان
غَبیّ	اغبیا
غیب	غیوب
غیر	اغیار
غیم	غیوم
فاجعه	فواجع
فاحشه	فواحش
فارس	فوارس
فارسی	فارسیان
فارقت	فارقات
فاسق	فاساق
فاسق	فساق
فاصله	فواصل
فاضل	فضلا
فاضل	فضلاء
فاکهه	فواکه
فایده	فواید
فتح	فتوح
فتح	فتوحات
فتنه	فتن
فتوا	فتاوا
فتوی	فتاوی
فتی	فتیان
فجیعه	فجایع
فحل	فحول
فرج	فروج
فرجه	فرج
فرد	افراد
فرزانه	فرزانگان
فرستاده	فرستادگان
فرض	فروض
فرضیه	فرضیات
فرع	فروع
فرع	فروعات
فرعون	فراعنه
فرقه	فرق
فرمان	فرامین
فروشنده	فروشندگان
فریده	فراید
فریده	فرائد
فریضه	فرائض
فریضه	فرایض
فریضه	فرائض
فصل	فصول
فصیح	فصحا
فصیح	فصحاء
فضله	فضلات
فضیحت	فضایح
فضیحت	فضائح
فضیلت	فضائل
فضیلت	فضایل
فضیلت	فضائل
فعل	افاعیل
فعل	افعال
فقر	فقرا
فقره	فقرات
فقیر	فقرا
فقیر	فقراء
فقیه	فقها
فقیه	فقهاء
فلز	فلزات
فلس	فلوس
فلک	افلاک
فلکی	فلکیون
فم	افواه
فن	فنون
فنن	افانین
فنن	افنان
فهرس	فهارس
فهلویه	فهلویات
فوج	افواج
فوه	افواه
فکر	افکار
فیض	فیوض
فیض	فیوضات
فیل	افیال
فیلسوف	فلاسفه
قائده	قوائد
قابض	قابضات
قاتل	قتال
قاری	قار
قاری	قرا
قاری	قراء
قاضی	قضات
قاطع	قطاع‌الطریق
قاطع‌الطریق	قطاع
قاعده	قواعد
قافله	قوافل
قافیه	قوافی
قانون	قوانین
قباله	قبالات
قباله	قبالجات
قبر	قبور
قبض	قبوض
قبیحه	قبایح
قبیله	قبائل
قبیله	قبایل
قحف	اقحاف
قدح	اقداح
قدر	اقدار
قدسی	قدسیان
قدم	اقدام
قدم	قدوم
قرائت	قرائات
قرابت	قرابات
قرحه	قروح
قرد	قرود
قرص	اقراص
قرض	قروض
قرطاس	قراطیس
قرمطی	قرامطه
قرن	اقران
قرن	قرون
قریب	اقربا
قریب	اقرباء
قریحه	قرایح
قرین	اقران
قرینه	قرائن
قرینه	قراین
قریه	قرا
قریه	قری
قس	قسوس
قسط	اقساط
قسم	اقسام
قشر	اقشار
قشر	قشور
قصبه	قصبات
قصر	قصور
قصه	اقاصیص
قصه	قصص
قصیده	قصائد
قصیده	قصاید
قصیده	قصائد
قضیه	قضایا
قضیه	قضایاء
قطب	اقطاب
قطر	اقطار
قطره	قطرات
قطعه	قطع
قطعه	قطعات
قفل	اقفال
قلاده	قلاید
قلب	قلوب
قلعه	قلاع
قلم	اقلام
قله	قلل
قماش	اقمشه
قمر	اقمار
قنات	قنوات
قندیل	قنادیل
قنطار	قناطیر
قنطره	قناطر
قوت	اقوات
قوس	اقواس
قول	اقوال
قوم	اقوام
قوه	قوا
قوی	اقویا
قید	قیود
قیصر	قیاصره
قیل	اقیال
قیمت	قیم
ل	لئام
لؤلؤ	لآلی
لئیم	ل
لاادری	لاادرییون
لاحقه	لواحق
لازمه	اوازم
لازمه	لوازم
لایحه	لوایح
لایحه	لوائح
لب	الباب
لباس	البسه
لبان	البان
لبیب	البا
لثه	لثات
لحظ	الحاظ
لحم	الحام
لحم	لحوم
لحن	الحان
لذت	لذات
لذت	لذایذ
لذیذ	لذائذ
لذیذ	لذایذ
لر	الوار
لزوجت	لزوجات
لسان	السن
لسان	السنه
لشکری	لشکریان
لطف	الطاف
لطمه	لطمات
لطیفه	لطا
لطیفه	لطائف
لطیفه	لطایف
لعبت	لعب
لغت	لغات
لغز	الغاز
لغوی	لغویون
لفافه	لفا
لفافه	لفائف
لفظ	الفاظ
لقب	القاب
لمعه	لمعات
لوا	الویه
لواء	الویه
لوث	الواث
لوح	الواح
لوطی	الواط
لون	الوان
لیف	الیاف
لیل	لیالی
مأخذ	مآخذ
مأربه	مآرب
مؤخره	مؤخرات
مؤسسه	مؤسسات
مئه	مآت
ما	امواه
ما	مئات
ما	مياه
ما	میاه
ماء	مياه
ماده	مواد
مادی	ماديان
مادی	ماديون
مادی	مادیات
مادی	مادیون
مال	اموال
مانع	موانع
مانوی	مانویون
مایع	مایعات
مباحثه	مباحثات
مبادله	مبادلات
مبارزه	مبارزات
مباینت	مباینات
مبحث	مباحث
مبدأ	مبادی
مبلع	مبالغ
مبلغ	مبالغ
مبلغ	مبلغین
مبنا	مبانی
مبنی	مبانی
مبهمه	مبهمات
متاع	امتعه
متشابه	متشابات
متشابه	متشابهات
متعلقه	متعلقات
متفق	متفقین
متن	متون
متهم	متهمان
متوفی	متوفیات
مثال	امثله
مثل	امثال
مثل	امثالهم
مجادله	مجادلات
مجاز	مجازات
مجاهدت	مجاهدات
مجرا	مجاری
مجسمات	مجسمه
مجسمه	مجسمات
مجلس	مجالس
مجلسی	مجلسیان
مجله	مجلات
مجمر	مجامر
مجمره	مجامر
مجمع	مجامع
مجنون	مجانین
محاربه	محاربات
محاسبه	محاسبات
محاوره	محاورات
محاکمه	محاکمات
محتوی	محتویات
محرم	محارم
محصول	محاصیل
محصول	محصولات
محضر	محاضر
محفل	محافل
محل	محال
محلله	محللات
محله	محلات
محمده	محامد
محمل	محامل
محموله	محمولات
محنت	محن
محکمه	محاکم
مخابره	مخابرات
مخازن	مخزن
مخاطره	مخاطرات
مخالف	مخالفین
مخترعه	مخترعات
مخدره	مخدرات
مخدوم	مخادیم
مخرج	مخارج
مخزن	مخازن
مخلوق	مخلوقات
مخیله	مخیلات
مداخله	مداخلات
مدخل	مداخل
مدد	امداد
مدرسه	مدارس
مدرک	مدارک
مدعو	مدعوین
مدیحه	مدایح
مدینه	مدائن
مدینه	مداین
مدینه	مدن
مذاکره	مذاکرات
مذبح	مذابح
مذهب	مذاهب
مرآت	مرایا
مرابطه	مرابطات
مراجعه	مراجعات
مراحم	مرحمت
مراسله	مراسلات
مرافقت	مرافقات
مراقبت	مراقبات
مراقبه	مراقبات
مراوده	مراودات
مرتبه	مراتب
مرتع	مراتع
مرتفع	مرتفعات
مرثیه	مراثی
مرج	مروج
مرجع	مراجع
مرحله	مراحل
مرحمت	مراحم
مرده	مردگان
مرسوله	مرسولات
مرصد	مراصد
مرض	امراض
مرقد	مراقد
مرقومه	مرقومات
مرمی	مرمیات
مره	مرات
مرهم	مراهم
مرکب	مراکب
مرکز	مراکز
مریض	مرضا
مریض	مرضی
مزاج	امزجه
مزایده	مزایدات
مزرعه	مزارع
مزمار	مزامیر
مزمور	مزامیر
مزیت	مزایا
مس	مسئولین
مس	مسائل
مسئله	مسا
مسئله	مسائل
مسئله	مسایل
مسافت	مسافات
مسافحه	مسافحات
مسامره	مسامرات
مستحاثه	مستحاثات
مستدعا	مستدعیات
مستدعی	مستدعیات
مستضعف	مستضعفین
مستعمره	مستعمرات
مستلذ	مستلذات
مستملکه	مستملکات
مستکبر	مستکبرین
مسجد	مساجد
مسرت	مسرات
مسطحه	مسطحات
مسطوره	مسطورجات
مسلک	مسالک
مسمار	مسامیر
مسمع	مسامع
مسند	مساند
مسند	مسانید
مسوده	مسودات
مسکن	مساکن
مسکین	مساکین
مسیحی	مسیحیون
مسیحیون	مسیحی
مشاعر	مشعر
مشافهه	مشافهات
مشاهدات	مشاهده
مشاهده	مشاهدات
مشاهره	مشاهرات
مشاوره	مشاورات
مشایخ	شیخ
مشایع	مشایعین
مشترک	مشترکات
مشتق	مشتقات
مشج	امشاج
مشعر	مشاعر
مشعل	مشاعل
مشغله	مشاغل
مشغولیت	مشغولیات
مشقت	مشاق
مشقت	مشقات
مشهد	مشاهد
مصاحف	مصحف
مصادره	مصادرات
مصباح	مصابیح
مصحف	مصاحف
مصداق	مصادق
مصداق	مصادیق
مصدر	مصادر
مصر	امصار
مصراع	مصاریع
مصرف	مصارف
مصعب	مصاعب
مصلحت	مصالح
مصنوع	مصنوعات
مصوبه	مصوبات
مصیبت	مصائب
مصیبت	مصایب
مضجع	مضاجع
مضرب	مضارب
مضرت	مضار
مضرت	مضرات
مضمون	مضامین
مضیق	مضائق
مضیق	مضایق
مضیقه	مضائق
مضیقه	مضایق
مطالبه	مطالبات
مطالعه	مطالعات
مطایبه	مطایبات
مطبخ	مطابخ
مطبعه	مطابع
مطر	امطار
مطرق	مطارق
مطلب	مطالب
مطلع	مطالع
مطلقه	مطلقات
مطمح	مطامح
مطمع	مطامع
مظان	مظنه
مظلمه	مظالم
مظهر	مظاهر
معا	امعا
معا	امعاء
معاء	امعا
معادله	معادلات
معارضه	معارضات
معالجه	معالجات
معامله	معاملات
معبد	معابد
معبر	معابر
معتمد	معتمدین
معجزه	معجزات
معجم	معاجم
معجون	معاجین
معدن	معادن
معذرت	معاذیر
معراج	معارج
معرفت	معارف
معروشه	معروشات
معروف	معاریف
معرکه	معارک
معصوم	معصومین
معصیت	معاصی
معضله	معضلات
معلقه	معلقات
معلم	معالم
معنی	معانی
معوقه	معوقات
معیار	معاییر
مغ	مغان
مغاره	مغارات
مغاره	مغاور
مغربی	مغاربه
مفتاح	مفاتیح
مفخرت	مفاخر
مفرش	مفارش
مفرق	مفارق
مفسده	مفاسد
مفصل	مفاصل
مفهوم	مفاهیم
مقابله	مقابلات
مقاربت	مقاربات
مقاله	مقالات
مقام	مقامات
مقاوله	مقاولات
مقاومت	مقاومات
مقایسه	مقایسات
مقبره	مقابر
مقتضا	مقتضیات
مقتضی	مقتضیات
مقتل	مقاتل
مقدار	مقادیر
مقدس	مقدسین
مقصد	مقاصد
مقطع	مقاطع
مقعد	مقاعد
مقنطره	مقنطرات
مقوله	مقولات
ملاحظه	ملاحظات
ملاحم	ملحمه
ملازم	ملازمین
ملازمت	ملازمات
ملازمه	ملازمات
ملبس	ملابس
ملت	ملل
ملتزم	ملتزمین
ملح	املاح
ملحد	ملاحده
ملحمه	ملاحم
ملعبه	ملاعب
ملعون	ملاعین
ملفوفه	ملفوفات
ملمع	ملمعات
ملک	املاک
ملک	ملائک
ملک	ملایک
ملک	ملوک
ملکه	ملکات
ملیک	ملکا
مملوک	ممامیک
مملکت	ممالک
منازعت	منازعات
منازعه	منازعات
مناسبت	مناسبات
مناظرات	مناظره
مناظره	مناظرات
مناقشه	مناقشات
منامندیل	منادیل
منبر	منابر
منبع	منابع
منجنیق	مناجیق
منجنیک	مناجیق
مندیل	منادیل
منزل	منازل
منسوج	منسوجات
منسک	مناسک
منصب	مناصب
منطقه	مناطق
منظر	مناظر
منظره	مناظر
منظومه	منظومات
منفذ	منافذ
منفعت	منافع
منقبت	مناقب
منهاج	مناهیج
منهج	مناهج
منهی	مناهی
منهی	منهیات
منویه	منویات
منیت	منایا
منیت	منی
منیرا	ارامنه
مهد	مهود
مهر	امهار
مهره	مهره‌داران
مهلکه	مهالک
مهم	مهمات
مواثیق	میثاق
مواجهه	مواجهات
مواصلت	مواصلات
مواصله	مواصلات
موج	امواج
موجب	موجبات
موجه	موجهات
موجود	موجودات
مورد	موارد
موسسه	موسسات
موسم	مواسم
موضع	مواضع
موضوع	مواضیع
موطن	مواطن
موعد	مواعد
موعظت	مواعظ
موعظه	مواعظ
موعظه	مواعظ
موفقیت	موفقیات
موقع	مواقع
موقف	مواقف
موقوفه	موقوفات
مولا	موالی
مولود	موالید
مولی	موالی
موهبت	مواهب
موهبه	مواهب
موکب	مواکب
مژه	مژگان
مکاتبه	مکاتبات
مکاشفت	مکاشفات
مکالمه	مکالمات
مکان	اماکن
مکان	امکنه
مکانت	مکانات
مکتب	مکاتب
مکتوب	مکاتیب
مکرمت	مکارم
مکرمه	مکارم
مکسب	مکاسب
مکمن	مکامن
مکنون	مکنونات
مکیال	مکا
مکیال	مکائل
مکیفه	مکیفات
میت	اموات
میت	موتا
میت	موتی
میثاق	مواثیق
میدان	میادین
میراث	مواریث
میزان	موازین
میل	امیال
میمنت	میامن
میمنت	میامین
میوه	میوجات
نا	نوائب
ناب	انابیب
ناب	انیاب
نابته	نوابت
نابغه	نوابغ
ناحیه	ناحیت
ناحیه	نواحی
نادره	نادرات
نادره	نوادر
نادم	ندام
نار	انوار
نار	نیران
ناسخ	نساخ
ناسور	نواسیر
ناسک	نساک
ناصبی	نواصب
ناصح	نصاح
ناصح	نصحا
ناصح	نصحاء
ناصر	انصار
ناصیه	نواصی
ناظر	نظار
نافذه	نوافذ
نافله	نوافل
ناقل	نقله
ناقوس	نواقیس
نامبرده	نامبردگان
ناملایمت	ناملايمات
ناموس	نوامیس
نامیه	نوامی
ناهیه	نواهی
نایب	نواب
نایبه	نایبات
نبأ	انبا
نبا	انبا
نبا	انباء
نبی	انبیا
نبی	انبیاء
نبیل	نبلا
نبیل	نبلاء
نبیه	نبها
نبیه	نبهاء
نتیجه	نتایج
نتیجه	نتائج
نجاست	نجاسات
نجد	انجاد
نجس	انجاس
نجل	انجال
نجم	انجم
نجم	نجوم
نجیبه	نجایب
نحر	نحور
نحس	نحوس
نحله	نحل
نحو	انحا
نحو	انحاء
نحوی	نحویون
نخروب	نخاریب
ند	انداد
ندیم	ندما
ندیم	ندماء
ندیٰ	اندیه
نذر	نذور
نذر	نذورات
نره	نرگان
نزل	انزال
نزله	نزلات
نزیل	نزلا
نزیل	نزلاء
نسا	نسوان
نسب	انساب
نسج	انساج
نسج	نسوج
نسخه	نسخ
نسر	نسور
نسطوری	نساطره
نسل	انسال
نسیج	نسایج
نشریه	نشریات
نص	نصوص
نصرانی	نصارا
نصرانی	نصاری
نصیب	انصبا
نصیحت	نصایح
نصیحت	نصائح
نصیر	انصار
نصیر	نصرا
نصیر	نصراء
نطاق	نطق
نطع	انطا
نطع	انطاء
نظر	انظار
نظریه	نظریات
نظیر	نظایر
نعل	نعال
نعم	انعام
نعمت	نعم
نعمت	نعمات
نغمه	نغمات
نفس	انفاس
نفس	انفس
نفس	نفوس
نفل	انفال
نفیسه	نفایس
نقد	نقود
نقره	نقرات
نقس	انقاس
نقش	نقوش
نقص	نقایص
نقص	نواقص
نقض	انقاض
نقطه	نقاط
نقطه	نقط
نقل	انکال
نقل	نقول
نقیب	نقبا
نقیب	نقباء
نقیصه	نقایص
نقیضه	نقایض
نمره	نمرات
نمس	نموس
نهر	انهار
نهضت	نهضات
نو	انوا
نواده	نوادگان
نوباوه	نوباوگان
نور	انوار
نوزاده	نوزادگان
نوشته	نوشتجات
نوع	انواع
نکبت	نکبات
نکته	نکات
نکته	نکت
نی	اغنیا
نیا	نیاکان
نیا	نیاگان
نیت	نیات
هاجس	هواجس
هاله	هوام
هامه	هوام
هتر	اهتار
هجو	هجویات
هدب	اهداب
هدف	اهداف
هدیه	هدایا
هرم	اهرام
هزهزه	هزاهز
هلال	اهله
هم	هموم
همت	همم
هندی	هنود
هودج	هوادج
هول	اهوال
هوی	اهوا
هیأت	هیئات
هیکل	هیاکل
وابسته	وابستگان
واحه	واحات
وادی	اودیه
وارث	وراث
وارث	ورثه
واسطه	وسا
واسطه	وسائط
واعظ	وعاظ
واقعه	واقعات
واقعه	وقایع
واقعیت	واقعیات
والی	ولاة
والی	ولات
والی	ولاه
وتد	اوتاد
وتر	اوتار
وثن	اوثان
وثیقه	وثا
وثیقه	وثائق
وثیقه	وثایق
وجع	اوجاع
وجل	اوجال
وجنه	وجنات
وجه	وجوه
وجه	وجوهات
وحش	وحوش
وحل	اوحال
وداج	اوداج
ودید	اودا
ودیعه	ودایع
ورد	اوراد
ورق	اوراق
ورم	اورام
ورید	اورده
وزر	اوزار
وزن	اوزان
وزیر	وزرا
وزیر	وزراء
وسخ	اوساخ
وسط	اواسط
وسط	اوساط
وسوسه	وساوس
وسیله	وسایل
وصب	اوصاب
وصف	اوصاف
وصل	اوصال
وصی	اوصیا
وصیت	وصایا
وصیت	وصایاء
وضح	اوضاح
وضع	اوضاع
وطر	اوطار
وطن	اوطان
وظیفه	وظائف
وظیفه	وظایف
وعا	اوعیه
وعد	وعود
وغد	اوغاد
وقت	اوقات
وقف	اوقاف
ولایت	ولایات
ولد	اولاد
ولی	اولیا
ولی	اولیاء
ولیمه	ولا
ولیمه	ولائم
ولیمه	ولایم
وهم	اوهام
وکیل	وکلا
وکیل	وکلاء
پاکت	پاکات
پروانه	پروانجات
پله	پلکان
پیکر	پیکران
چرکس	چراکسه
کائن	کائنات
کاین	کاینات
کاتب	کتاب
کارخانه	کارخانجات
کارنده	کارندگان
کاسب	کسبه
کاعب	کواعب
کافر	کفار
کافر	کفره
کاهن	کهان
کاهن	کهنه
کبیر	کبار
کبیر	کبرا
کبیر	کبراء
کبیره	کبا
کبیره	کبائر
کتاب	کتب
کتف	اکتاف
کتیبه	کتا
کتیبه	کتائب
کثافت	کثافات
کثرت	کثرات
کرامت	کرامات
کرت	کرات
کرد	اکراد
کردوس	کرادیس
کره	کرات
کروبی	کروبیون
کس	کسان
کسر	کسور
کسر	کسورات
کسری	اکاسر
کسری	اکاسره
کشته	کشتگان
کشفیه	کشفیات
کشنده	کشندگان
کشیش	کشیشان
کعب	کعاب
کعب	کعوب
کف	کفوف
کفاره	کفارات
کفن	اکفان
کفو	اکفا
کفو	اکفاء
کلب	کلاب
کلبی	کلبیون
کلف	اسلاک
کلمه	کلمات
کلوخ	کلوخ‌اندازان
کلوخ‌انداز	کلوخ
کم	اکمام
کنایت	کنایات
کنایه	کنایات
کنز	کنوز
کنف	اکناف
کنیس	کنایس
کنیسه	کنایس
کهف	کهوف
کوب	اکواب
کوره	کور
کون	اکوان
کوکب	کواکب
کی	کیان
کیس	اکیاس
کیفیت	کیفیات
کیل	اکیال
گرداننده	گردانندگان
گمرک	گمرکات
گیرنده	گیرندگان
گیسو	گیسوان
یاقوت	یواقیت
یتیم	ایتام
ید	ایادی
ید	ایدی
یعقوبی	یعقوبیان
یم	یموم
یمین	ایمان
ینبوع	ینابیع
یوم	ایام
