آ	N$آ+SG
بیگانه‌ش	N$بیگانه+SG PRO3SG*یگانه+PREP SG PRO3SG
بیگانه‌ی	N$بیگانه+SG COP2SG#SG EZ*یگانه+PREP SG EZ#PREP SG COP2SG
بیگانه‌یی	N$بیگانه+SG YEH*یگانه+PREP SG YEH
بیگانگان	N$بیگانگان+SG*بیگانه+PL*یگانه+PREP PL
بیگانگانرا	N$بیگانگان+SG POSTP*بیگانه+PL POSTP*یگانه+PREP PL POSTP
بیگانگانش	N$بیگانگان+SG PRO3SG*بیگانه+PL PRO3SG*یگانه+PREP PL PRO3SG
بیگانگی	N$بیگانگی+SG
بیگانگیست	N$بیگانگی+SG COP3SG
بیگانگیش	N$بیگانگی+SG PRO3SG
بیگانگیهای	N$بیگانگی+PL EZ#PL COP2SG
بیگمان	N$بیگم+PL*بیگ+SG PRO1PL
بیگمانم	N$بیگم+PL PRO1SG#PL COP1SG*بیگ+SG PRO1PL COP1SG
بیگی	N$بیگ+SG YEH#SG COP2SG
بی‌آبرویی	N$بی‌آبرویی+SG
بی‌آبی	N$بی‌آبی+SG
بی‌آبیهاست	N$بی‌آبی+PL COP3SG
بی‌آرامی	N$بی‌آرامی+SG
بی‌آرامیی	N$بی‌آرامی+SG COP2SG#SG EZ
بی‌ادبی	N$بی‌ادبی+SG
بی‌ادبیست	N$بی‌ادبی+SG COP3SG
بی‌ادبیها	N$بی‌ادبی+PL
بی‌ادبیهای	N$بی‌ادبی+PL EZ#PL COP2SG
بی‌ادبی‌ها	N$بی‌ادبی+PL
بی‌اشتهایی	N$بی‌اشتهایی+SG
بی‌اعتباری	N$بی‌اعتباری+SG
بی‌اعتباریها	N$بی‌اعتباری+PL
بی‌اعتدالی	N$بی‌اعتدالی+SG
بی‌التفاتی	N$بی‌التفات+SG YEH#SG COP2SG
بی‌انصاف	N$بی‌انصاف+SG
بی‌انصافان	N$بی‌انصاف+PL
بی‌انصافی	N$بی‌انصاف+SG YEH#SG COP2SG*بی‌انصافی+SG
بی‌انصافیت	N$بی‌انصافی+SG PRO2SG
بی‌ایمانی	N$بی‌ایمانی+SG
بی‌باکی	N$بی‌باکی+SG
بی‌باکیست	N$بی‌باکی+SG COP3SG
بی‌برگی	N$بی‌برگی+SG
بی‌برگیش	N$بی‌برگی+SG PRO3SG
بی‌برگیی	N$بی‌برگی+SG COP2SG#SG EZ
بی‌برگی‌های	N$بی‌برگی+PL EZ#PL COP2SG
بی‌بی	N$بی‌بی+SG
بی‌بیان	N$بی‌بی+PL
بی‌بیانش	N$بی‌بی+PL PRO3SG
بی‌بیانند	N$بی‌بی+PL COP3PL
بی‌بیم	N$بی‌بی+SG COP1SG#SG PRO1SG
بی‌بیمی	N$بی‌بی+SG PRO1SG COP2SG#SG PRO1SG YEH
بی‌تابی	N$بی‌تابی+SG
بی‌تابیم	N$بی‌تابی+SG COP1SG#SG PRO1SG
بی‌ثباتی	N$بی‌ثباتی+SG
بی‌ثباتی‌ها	N$بی‌ثباتی+PL
بی‌ثباتی‌های	N$بی‌ثباتی+PL EZ#PL COP2SG
بی‌جاده	N$بی‌جاده+SG
بی‌حاصلی	N$بی‌حاصلی+SG
بی‌حاصلیست	N$بی‌حاصلی+SG COP3SG
بی‌حاصلیم	N$بی‌حاصلی+SG COP1SG#SG PRO1SG
بی‌حاصلیها	N$بی‌حاصلی+PL
بی‌حالی	N$بی‌حالی+SG
بی‌حرمتی	N$بی‌حرمتی+SG
بی‌حرمتیهای	N$بی‌حرمتی+PL EZ#PL COP2SG
بی‌حسابی	N$بی‌حسابی+SG
بی‌حسی	N$بی‌حسی+SG
بی‌حسیست	N$بی‌حسی+SG COP3SG
بی‌حوصلگی	N$بی‌حوصلگی+SG
بی‌حیایی	N$بی‌حیایی+SG
بی‌خردی	N$بی‌خردی+SG
بی‌خردیها	N$بی‌خردی+PL
بی‌خردی‌ی	N$بی‌خردی+SG COP2SG
بی‌خو	N$بی‌خو+SG
بی‌خوابی	N$بی‌خوابی+SG
بی‌خوابیست	N$بی‌خوابی+SG COP3SG
بی‌خوابیش	N$بی‌خوابی+SG PRO3SG
بی‌خوابیم	N$بی‌خوابی+SG COP1SG#SG PRO1SG
بی‌خویش	N$بی‌خو+SG PRO3SG
بی‌خویشان	N$بی‌خو+SG PRO3PL
بی‌خویشم	N$بی‌خو+SG PRO3SG COP1SG
بی‌خویشی	N$بی‌خو+SG PRO3SG YEH#SG PRO3SG COP2SG
بی‌خویشیم	N$بی‌خو+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL
بی‌دانشی	N$بی‌دانشی+SG
بی‌دانشیست	N$بی‌دانشی+SG COP3SG
بی‌دانه	N$بی‌دانه+SG
بی‌دانه‌ی	N$بی‌دانه+SG COP2SG#SG EZ
بی‌دردی	N$بی‌دردی+SG
بی‌دردیست	N$بی‌دردی+SG COP3SG
بی‌دردیم	N$بی‌دردی+SG COP1SG#SG PRO1SG
بی‌درمانی	N$بی‌درمانی+SG
بی‌دلی	N$بی‌دلی+SG
بی‌دلیم	N$بی‌دلی+SG COP1SG#SG PRO1SG
بی‌دین	N$بی‌دین+SG
بی‌دینان	N$بی‌دین+PL
بی‌دینانند	N$بی‌دین+PL COP3PL
بی‌دینش	N$بی‌دین+SG PRO3SG
بی‌دینم	N$بی‌دین+SG COP1SG#SG PRO1SG
بی‌دینی	N$بی‌دینی+SG*بی‌دین+SG YEH#SG COP2SG
بی‌ذوقی	N$بی‌ذوقی+SG
بی‌راه	N$بی‌راه+SG
بی‌راهه	N$بی‌راهه+SG
بی‌راهی	N$بی‌راهی+SG
بی‌رحمی	N$بی‌رحمی+SG
بی‌رحمیت	N$بی‌رحمی+SG PRO2SG
بی‌رحمیست	N$بی‌رحمی+SG COP3SG
بی‌رنگی	N$بی‌رنگی+SG
بی‌ریایی	N$بی‌ریایی+SG
بی‌ریش	N$بی‌ریش+SG
بی‌ریشان	N$بی‌ریش+PL
بی‌زاری	N$بی‌زاری+SG
بی‌زبانی	N$بی‌زبانی+SG
بی‌زبانیم	N$بی‌زبانی+SG COP1SG#SG PRO1SG
بی‌سامانی	N$بی‌سامانی+SG
بی‌سامانیم	N$بی‌سامانی+SG COP1SG#SG PRO1SG
بی‌سران	N$بی‌سران+SG
بی‌سرانشان	N$بی‌سران+SG PRO3PL
بی‌سروپا	N$بی‌سروپا+SG
بی‌سروپای	N$بی‌سروپا+SG COP2SG#SG EZ
بی‌سکه	N$بی‌سکه+SG
بی‌سکه‌ی	N$بی‌سکه+SG COP2SG#SG EZ
بی‌سیم	N$بی‌سیم+SG
بی‌سیمان	N$بی‌سیم+PL
بی‌سیمی	N$بی‌سیم+SG YEH#SG COP2SG
بی‌سیمیم	N$بی‌سیم+SG COP1PL#SG YEH COP1SG
بی‌شرمی	N$بی‌شرمی+SG
بی‌شرمیست	N$بی‌شرمی+SG COP3SG
بی‌شرمیها	N$بی‌شرمی+PL
بی‌شرمیی	N$بی‌شرمی+SG COP2SG#SG EZ
بی‌صبری	N$بی‌صبری+SG
بی‌صبریت	N$بی‌صبری+SG PRO2SG
بی‌صبریم	N$بی‌صبری+SG COP1SG#SG PRO1SG
بی‌صفتی	N$بی‌صفتی+SG
بی‌طاقتی	N$بی‌طاقتی+SG
بی‌طالعی	N$بی‌طالعی+SG
بی‌طالعیم	N$بی‌طالعی+SG COP1SG#SG PRO1SG
بی‌طالعیها	N$بی‌طالعی+PL
بی‌طمعی	N$بی‌طمعی+SG
بی‌طمعیم	N$بی‌طمعی+SG COP1SG#SG PRO1SG
بی‌عصمتی	N$بی‌عصمتی+SG
بی‌عقلی	N$بی‌عقلی+SG
بی‌عقلیش	N$بی‌عقلی+SG PRO3SG
بی‌عقلیم	N$بی‌عقلی+SG COP1SG#SG PRO1SG
بی‌غیرتی	N$بی‌غیرتی+SG
بی‌قدری	N$بی‌قدری+SG
بی‌قراری	N$بی‌قراری+SG
بی‌قراریت	N$بی‌قراری+SG PRO2SG
بی‌قراریست	N$بی‌قراری+SG COP3SG
بی‌قراریم	N$بی‌قراری+SG COP1SG#SG PRO1SG
بی‌قراریهاش	N$بی‌قراری+PL PRO3SG
بی‌قراریهای	N$بی‌قراری+PL EZ#PL COP2SG
بی‌قیدی	N$بی‌قیدی+SG
بی‌لطفی	N$بی‌لطفی+SG
بی‌لطفیش	N$بی‌لطفی+SG PRO3SG
بی‌لطفیی	N$بی‌لطفی+SG COP2SG#SG EZ
بی‌مایه	N$بی‌مایه+SG
بی‌مایه‌ام	N$بی‌مایه+SG COP1SG#SG PRO1SG
بی‌مایه‌ی	N$بی‌مایه+SG COP2SG#SG EZ
بی‌مایگان	N$بی‌مایه+PL
بی‌مایگی	N$بی‌مایگی+SG
بی‌مرادی	N$بی‌مرادی+SG
بی‌مرادیت	N$بی‌مرادی+SG PRO2SG
بی‌مرادیها	N$بی‌مرادی+PL
بی‌مرادیهای	N$بی‌مرادی+PL EZ#PL COP2SG
بی‌مروتی	N$بی‌مروتی+SG
بی‌مزگیست	N$بی‌مزگی+SG COP3SG
بی‌معنی	N$بی‌معنی+SG
بی‌معنیت	N$بی‌معنی+SG PRO2SG
بی‌معنیستی	N$بی‌معنی+SG COP2SG
بی‌معنیی	N$بی‌معنی+SG COP2SG#SG EZ
بی‌مغزی	N$بی‌مغزی+SG
بی‌مهرگان	N$بی‌مهرگان+SG
بی‌مهری	N$بی‌مهری+SG
بی‌مهریت	N$بی‌مهری+SG PRO2SG
بی‌مهریشان	N$بی‌مهری+SG PRO3PL
بی‌مهریی	N$بی‌مهری+SG COP2SG#SG EZ
بی‌میلی	N$بی‌میلی+SG
بی‌نظری	N$بی‌نظری+SG
بی‌نمازی	N$بی‌نمازی+SG
بی‌نمکی	N$بی‌نمکی+SG
بی‌ننگی	N$بی‌ننگی+SG
بی‌نوا	N$بی‌نوا+SG
بی‌نوائی	N$بی‌نوا+SG YEH
بی‌نواست	N$بی‌نوا+SG COP3SG
بی‌نوای	N$بی‌نوا+SG COP2SG#SG EZ
بی‌نوایم	N$بی‌نوا+SG PRO1SG#SG COP1PL
بی‌نوایی	N$بی‌نوا+SG YEH*بی‌نوایی+SG
بی‌نواییت	N$بی‌نوایی+SG PRO2SG
بی‌نواییم	N$بی‌نوا+SG YEH COP1SG*بی‌نوایی+SG COP1SG#SG PRO1SG
بی‌نواییها	N$بی‌نوایی+PL
بی‌نوایی‌شان	N$بی‌نوایی+SG PRO3PL
بی‌نوری	N$بی‌نوری+SG
بی‌نیازی	N$بی‌نیازی+SG
بی‌نیازیست	N$بی‌نیازی+SG COP3SG
بی‌نیازیش	N$بی‌نیازی+SG PRO3SG
بی‌نیازیم	N$بی‌نیازی+SG COP1SG#SG PRO1SG
بی‌همتی	N$بی‌همتی+SG
بی‌هوشی	N$بی‌هوشی+SG
بی‌هوشیت	N$بی‌هوشی+SG PRO2SG
بی‌هوشیش	N$بی‌هوشی+SG PRO3SG
بی‌هوشیم	N$بی‌هوشی+SG COP1SG#SG PRO1SG
بی‌هوشیی	N$بی‌هوشی+SG COP2SG#SG EZ
بی‌هوشی‌م	N$بی‌هوشی+SG COP1SG#SG PRO1SG
بی‌وفای	N$بی‌وفای+SG
بی‌وفایان	N$بی‌وفای+PL
بی‌وفایت	N$بی‌وفای+SG PRO2SG
بی‌وفایی	N$بی‌وفای+SG COP2SG#SG EZ
بی‌پایانی	N$بی‌پایانی+SG
بی‌پایانیم	N$بی‌پایانی+SG COP1SG#SG PRO1SG
بی‌پروایی	N$بی‌پروایی+SG
بی‌پرواییش	N$بی‌پروایی+SG PRO3SG
بی‌چادری	N$بی‌چادری+SG
بی‌چیزی	N$بی‌چیزی+SG
بی‌کاری	N$بی‌کاری+SG
بی‌کاریست	N$بی‌کاری+SG COP3SG
بی‌کاریم	N$بی‌کاری+SG COP1SG#SG PRO1SG
بی‌کاریی	N$بی‌کاری+SG COP2SG#SG EZ
بی‌کتاب	N$بی‌کتاب+SG
بی‌کفایتیست	N$بی‌کفایتی+SG COP3SG
بی‌کفنی	N$بی‌کفنی+SG
بی‌کمالی	N$بی‌کمالی+SG
بی‌گمانی	N$بی‌گمانی+SG
بی‌گمانیش	N$بی‌گمانی+SG PRO3SG
بی‌گناهی	N$بی‌گناهی+SG
بی‌گناهیم	N$بی‌گناهی+SG COP1SG#SG PRO1SG
ت	N$ت+SG
تأثیر	N$تأثیر+SG
تأثیرم	N$تأثیر+SG COP1SG#SG PRO1SG
تأثیرها	N$تأثیر+PL
تأثیرهاست	N$تأثیر+PL COP3SG
تأثیری	N$تأثیر+SG YEH#SG COP2SG
تأدیب	N$تأدیب+SG
تألفست	N$تألف+SG COP3SG
تأویل	N$تأویل+SG
تأویلست	N$تأویل+SG COP3SG
تأویلی	N$تأویل+SG YEH#SG COP2SG
تأویل‌ها	N$تأویل+PL
تأیید	N$تأیید+SG
تا	N$تا+SG
تائی	N$تا+SG YEH
تاب	N$تاب+SG
تابان	N$تابان+SG*تاب+PL
تابانت	N$تابان+SG PRO2SG*تاب+PL PRO2SG
تابانرا	N$تابان+SG POSTP*تاب+PL POSTP
تابانست	N$تابان+SG COP3SG*تاب+PL COP3SG
تابانش	N$تابان+SG PRO3SG*تاب+PL PRO3SG
تابانم	N$تابان+SG COP1SG#SG PRO1SG*تاب+PL PRO1SG#PL COP1SG
تابانی	N$تابان+SG YEH#SG COP2SG*تاب+PL YEH#PL COP2SG
تابت	N$تاب+SG PRO2SG
تابخانه	N$تابخانه+SG
تابخانه‌ی	N$تابخانه+SG COP2SG#SG EZ
تابدان	N$تابدان+SG
تابدانی	N$تابدان+SG YEH#SG COP2SG
تابست	N$تاب+SG COP3SG
تابستان	N$تابستان+SG
تابستانست	N$تابستان+SG COP3SG
تابستانش	N$تابستان+SG PRO3SG
تابش	N$تابش+SG*تاب+SG PRO3SG
تابشان	N$تابش+PL*تاب+SG PRO3PL
تابشت	N$تابش+SG PRO2SG
تابشش	N$تابش+SG PRO3SG
تابشی	N$تابش+SG YEH#SG COP2SG*تاب+SG PRO3SG YEH#SG PRO3SG COP2SG
تابش‌های	N$تابش+PL EZ#PL COP2SG
تابع	N$تابع+SG
تابعت	N$تابع+SG PRO2SG
تابعست	N$تابع+SG COP3SG
تابعم	N$تابع+SG COP1SG#SG PRO1SG
تابم	N$تاب+SG COP1SG#SG PRO1SG
تابمانی	N$تاب+SG PRO1PL COP2SG#SG PRO1PL YEH
تابناکی	N$تابناکی+SG
تابناکیم	N$تابناکی+SG COP1SG#SG PRO1SG
تابند	N$تاب+SG COP3PL
تابنده	N$تابنده+SG
تابنده‌ات	N$تابنده+SG PRO2SG
تابنده‌ای	N$تابنده+SG COP2SG
تابنده‌ش	N$تابنده+SG PRO3SG
تابنده‌ی	N$تابنده+SG COP2SG#SG EZ
تابندگی	N$تابندگی+SG
تابندگیش	N$تابندگی+SG PRO3SG
تابه	N$تابه+SG
تابها	N$تابها+SG*تاب+PL
تابهاست	N$تابها+SG COP3SG*تاب+PL COP3SG
تابهای	N$تابها+SG COP2SG#SG EZ*تاب+PL EZ#PL COP2SG
تابه‌ای	N$تابه+SG COP2SG
تابه‌ها	N$تابه+PL
تابه‌ی	N$تابه+SG COP2SG#SG EZ
تابوت	N$تابوت+SG*تابو+SG PRO2SG
تابوتش	N$تابوت+SG PRO3SG
تابوتم	N$تابوت+SG COP1SG#SG PRO1SG*تابو+SG PRO2SG COP1SG
تابوتها	N$تابوت+PL
تابوتی	N$تابوت+SG YEH#SG COP2SG*تابو+SG PRO2SG YEH#SG PRO2SG COP2SG
تابوی	N$تابو+SG COP2SG#SG EZ
تابی	N$تاب+SG YEH#SG COP2SG
تابید	N$تاب+SG COP2PL
تابیست	N$تاب+SG YEH COP3SG
تابیم	N$تاب+SG COP1PL#SG YEH COP1SG
تابی‌ست	N$تاب+SG YEH COP3SG
تاب‌ها	N$تاب+PL
تات	N$تات+SG*ته+PL*تا+SG PRO2SG
تاتار	N$تاتار+SG
تاتاران	N$تاتار+PL
تاتارست	N$تاتار+SG COP3SG
تاتارش	N$تاتار+SG PRO3SG
تاتارم	N$تاتار+SG COP1SG#SG PRO1SG
تاتاری	N$تاتار+SG YEH#SG COP2SG*تاتاری+SG
تاتاریست	N$تاتار+SG YEH COP3SG*تاتاری+SG COP3SG
تاتاریش	N$تاتاری+SG PRO3SG
تاترا	N$تات+SG POSTP*ته+PL POSTP*تا+SG PRO2SG POSTP
تاتو	N$تاتو+SG
تاتوانست	N$تاتو+PL COP3SG
تاثری	N$تاثر+SG YEH#SG COP2SG
تاثیر	N$تاثیر+SG
تاثیرش	N$تاثیر+SG PRO3SG
تاثیرم	N$تاثیر+SG COP1SG#SG PRO1SG
تاثیرهات	N$تاثیر+PL PRO2SG
تاثیری	N$تاثیر+SG YEH#SG COP2SG
تاثیریست	N$تاثیر+SG YEH COP3SG
تاج	N$تاج+SG
تاجت	N$تاج+SG PRO2SG
تاجدار	N$تاجدار+SG
تاجداران	N$تاجدار+PL
تاجدارانش	N$تاجدار+PL PRO3SG
تاجدارانند	N$تاجدار+PL COP3PL
تاجدارانی	N$تاجدار+PL YEH#PL COP2SG
تاجدارت	N$تاجدار+SG PRO2SG
تاجدارست	N$تاجدار+SG COP3SG
تاجدارش	N$تاجدار+SG PRO3SG
تاجدارم	N$تاجدار+SG COP1SG#SG PRO1SG
تاجدارند	N$تاجدار+SG COP3PL
تاجداری	N$تاجدار+SG YEH#SG COP2SG*تاجداری+SG
تاجداریم	N$تاجدار+SG COP1PL#SG YEH COP1SG*تاجداری+SG COP1SG#SG PRO1SG
تاجر	N$تاجر+SG
تاجران	N$تاجر+PL
تاجرش	N$تاجر+SG PRO3SG
تاجرم	N$تاجر+SG COP1SG#SG PRO1SG
تاجری	N$تاجر+SG YEH#SG COP2SG
تاجریم	N$تاجر+SG COP1PL#SG YEH COP1SG
تاجست	N$تاج+SG COP3SG
تاجش	N$تاج+SG PRO3SG
تاجشان	N$تاج+SG PRO3PL
تاجم	N$تاج+SG COP1SG#SG PRO1SG
تاجها	N$تاج+PL
تاجهای	N$تاج+PL EZ#PL COP2SG
تاجور	N$تاجور+SG
تاجوران	N$تاجور+PL
تاجورست	N$تاجور+SG COP3SG
تاجورش	N$تاجور+SG PRO3SG
تاجورم	N$تاجور+SG COP1SG#SG PRO1SG
تاجورند	N$تاجور+SG COP3PL
تاجوری	N$تاجور+SG YEH#SG COP2SG
تاجگاه	N$تاجگاه+SG
تاجگه	N$تاجگه+SG
تاجی	N$تاج+SG YEH#SG COP2SG
تاجیست	N$تاج+SG YEH COP3SG
تاجیک	N$تاجیک+SG
تاجیکست	N$تاجیک+SG COP3SG
تاجیکی	N$تاجیکی+SG*تاجیک+SG YEH#SG COP2SG
تاجی‌ست	N$تاج+SG YEH COP3SG
تاج‌الملوک	N$تاج‌الملوک+SG
تاج‌اند	N$تاج+SG COP3PL
تاج‌بخش	N$تاج‌بخش+SG
تاج‌مان	N$تاج+SG PRO1PL
تاج‌ها	N$تاج+PL
تاج‌های	N$تاج+PL EZ#PL COP2SG
تاخت	N$تاخت+SG
تاختت	N$تاخت+SG PRO2SG
تاختش	N$تاخت+SG PRO3SG
تاختم	N$تاخت+SG COP1SG#SG PRO1SG
تاختمی	N$تاخت+SG PRO1SG COP2SG#SG PRO1SG YEH
تاختند	N$تاخت+SG COP3PL
تاختی	N$تاخت+SG YEH#SG COP2SG
تاختید	N$تاخت+SG COP2PL
تاختیم	N$تاخت+SG COP1PL#SG YEH COP1SG
تاخر	N$تاخر+SG
تاخیر	N$تاخیر+SG
تاخیرم	N$تاخیر+SG COP1SG#SG PRO1SG
تاخیری	N$تاخیر+SG YEH#SG COP2SG
تادیب	N$تادیب+SG
تادیبشان	N$تادیب+SG PRO3PL
تار	N$تار+SG
تاراج	N$تاراج+SG
تاراجست	N$تاراج+SG COP3SG
تاراجش	N$تاراج+SG PRO3SG
تاراجشان	N$تاراج+SG PRO3PL
تاراجم	N$تاراج+SG COP1SG#SG PRO1SG
تاراجگر	N$تاراجگر+SG
تارت	N$تارت+SG*تار+SG PRO2SG
تارست	N$تار+SG COP3SG
تارستی	N$تار+SG COP2SG
تارش	N$تار+SG PRO3SG
تارم	N$تار+SG COP1SG#SG PRO1SG
تاره	N$تاره+SG
تارها	N$تار+PL
تارهاست	N$تار+PL COP3SG
تارهای	N$تار+PL EZ#PL COP2SG
تارهایی	N$تار+PL YEH
تاره‌ای	N$تاره+SG COP2SG
تاره‌ی	N$تاره+SG COP2SG#SG EZ
تارو	N$تارو+SG
تاروان	N$تارو+PL
تارومار	N$تارومار+SG
تاروند	N$تارو+SG COP3PL
تاروپود	N$تاروپود+SG
تاروپودش	N$تاروپود+SG PRO3SG
تارک	N$تارک+SG
تارکت	N$تارک+SG PRO2SG
تارکش	N$تارکش+SG*تارک+SG PRO3SG
تارکشان	N$تارکش+PL*تارک+SG PRO3PL
تارکم	N$تارک+SG COP1SG#SG PRO1SG
تارکی	N$تارک+SG YEH#SG COP2SG
تاری	N$تار+SG YEH#SG COP2SG
تاریخ	N$تاریخ+SG
تاریخش	N$تاریخ+SG PRO3SG
تاریخشان	N$تاریخ+SG PRO3PL
تاریخم	N$تاریخ+SG COP1SG#SG PRO1SG
تاریخها	N$تاریخ+PL
تاریخهای	N$تاریخ+PL EZ#PL COP2SG
تاریخی	N$تاریخ+SG YEH#SG COP2SG
تاریخ‌نویس	N$تاریخ‌نویس+SG
تاریخ‌های	N$تاریخ+PL EZ#PL COP2SG
تاریست	N$تار+SG YEH COP3SG
تاریستی	N$تار+SG YEH COP2SG
تاریکه	N$تار+SG COP2SG CONJ#SG YEH CONJ
تاریکی	N$تاریکی+SG
تاریکیت	N$تاریکی+SG PRO2SG
تاریکیست	N$تاریکی+SG COP3SG
تاریکیش	N$تاریکی+SG PRO3SG
تاریکیی	N$تاریکی+SG COP2SG#SG EZ
تاریکی‌ش	N$تاریکی+SG PRO3SG
تاز	N$تاز+SG
تازان	N$تاز+PL
تازانی	N$تاز+PL YEH#PL COP2SG
تازت	N$تاز+SG PRO2SG
تازست	N$تاز+SG COP3SG
تازش	N$تاز+SG PRO3SG*تازش+SG
تازم	N$تاز+SG COP1SG#SG PRO1SG
تازند	N$تاز+SG COP3PL
تازه‌جوان	N$تازه‌جوان+SG
تازه‌رویی	N$تازه‌رویی+SG
تازک	N$تازک+SG
تازکان	N$تازک+PL
تازگی	N$تازگی+SG
تازگیش	N$تازگی+SG PRO3SG
تازگیم	N$تازگی+SG COP1SG#SG PRO1SG
تازی	N$تاز+SG YEH#SG COP2SG*تازی+SG
تازیان	N$تازی+PL
تازیانش	N$تازی+PL PRO3SG
تازیانی	N$تازی+PL YEH#PL COP2SG
تازیت	N$تازی+SG PRO2SG
تازید	N$تاز+SG COP2PL
تازیست	N$تاز+SG YEH COP3SG*تازی+SG COP3SG
تازیستی	N$تاز+SG YEH COP2SG*تازی+SG COP2SG
تازیش	N$تازی+SG PRO3SG
تازیم	N$تاز+SG COP1PL#SG YEH COP1SG*تازی+SG COP1SG#SG PRO1SG
تازیی	N$تاز+SG YEH COP2SG*تازی+SG COP2SG#SG EZ
تازی‌ها	N$تازی+PL
تاس	N$تاس+SG
تاست	N$تاس+SG PRO2SG*تا+SG COP3SG
تاسف	N$تاسف+SG
تاسه	N$تاسه+SG
تاسه‌ای	N$تاسه+SG COP2SG
تاسه‌شان	N$تاسه+SG PRO3PL
تاسه‌ی	N$تاسه+SG COP2SG#SG EZ
تاسی	N$تاس+SG YEH#SG COP2SG*تاسی+SG
تاش	N$تاش+SG*تا+SG PRO3SG
تاشان	N$تاش+PL*تا+SG PRO3PL
تاشم	N$تاش+SG COP1SG#SG PRO1SG*تا+SG PRO3SG COP1SG
تاشند	N$تاش+SG COP3PL*تا+SG PRO3SG COP3PL
تاشی	N$تاش+SG YEH#SG COP2SG*تا+SG PRO3SG YEH#SG PRO3SG COP2SG
تاشیم	N$تاش+SG COP1PL#SG YEH COP1SG*تا+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL
تاغ	N$تاغ+SG
تافت	N$تافت+SG
تافتست	N$تافت+SG COP3SG
تافتش	N$تافت+SG PRO3SG
تافتم	N$تافت+SG COP1SG#SG PRO1SG
تافتند	N$تافت+SG COP3PL
تافته	N$تافته+SG
تافته‌ام	N$تافته+SG COP1SG#SG PRO1SG
تافته‌ای	N$تافته+SG COP2SG
تافته‌ست	N$تافته+SG COP3SG
تافته‌شان	N$تافته+SG PRO3PL
تافته‌ی	N$تافته+SG COP2SG#SG EZ
تافتگی	N$تافتگی+SG
تافتی	N$تافت+SG YEH#SG COP2SG
تافتیم	N$تافت+SG COP1PL#SG YEH COP1SG
تافتی‌ای	N$تافت+SG YEH COP2SG
تاق	N$تاق+SG
تال	N$تال+SG
تالار	N$تالار+SG
تالانی	N$تالان+SG YEH#SG COP2SG*تال+PL YEH#PL COP2SG
تالش	N$تال+SG PRO3SG*تالش+SG
تالی	N$تالی+SG*تال+SG YEH#SG COP2SG
تالیف	N$تالیف+SG
تالیفی	N$تالیف+SG YEH#SG COP2SG
تالیها	N$تالی+PL
تام	N$تا+SG COP1SG#SG PRO1SG
تامی	N$تا+SG PRO1SG COP2SG#SG PRO1SG YEH
تان	N$ت+PL
تاند	N$تا+SG COP3PL
تانست	N$ت+PL COP3SG
تانم	N$ت+PL PRO1SG#PL COP1SG
تانی	N$ت+PL YEH#PL COP2SG
تانیث	N$تانیث+SG
تانیثش	N$تانیث+SG PRO3SG
تاو	N$تاو+SG
تاوان	N$تاو+PL*تاوان+SG
تاوانت	N$تاو+PL PRO2SG*تاوان+SG PRO2SG
تاوانست	N$تاو+PL COP3SG*تاوان+SG COP3SG
تاوانش	N$تاو+PL PRO3SG*تاوان+SG PRO3SG
تاوانم	N$تاو+PL PRO1SG#PL COP1SG*تاوان+SG COP1SG#SG PRO1SG
تاوانی	N$تاو+PL YEH#PL COP2SG*تاوان+SG YEH#SG COP2SG
تاویل	N$تاویل+SG
تاویلست	N$تاویل+SG COP3SG
تاویلش	N$تاویل+SG PRO3SG
تاویلها	N$تاویل+PL
تاویلهاست	N$تاویل+PL COP3SG
تاویلی	N$تاویل+SG YEH#SG COP2SG
تاچه	N$تاچه+SG
تاک	N$تاک+SG
تاکسی	N$تاکسی+SG*تاکس+SG YEH#SG COP2SG
تاکش	N$تاک+SG PRO3SG
تاکشان	N$تاک+SG PRO3PL
تاکم	N$تاک+SG COP1SG#SG PRO1SG
تاکند	N$تاک+SG COP3PL
تاکه	N$تا+SG CONJ
تاکی	N$تاک+SG YEH#SG COP2SG
تاکید	N$تاک+SG COP2PL*تاکید+SG
تاکیست	N$تاک+SG YEH COP3SG
تاکیند	N$تاک+SG YEH COP3PL
تاگم	N$تاگ+SG COP1SG#SG PRO1SG
تای	N$تای+SG*تا+SG COP2SG#SG EZ
تایم	N$تایم+SG*تای+SG COP1SG#SG PRO1SG*تا+SG PRO1SG#SG COP1PL
تایی	N$تای+SG COP2SG#SG EZ*تا+SG YEH
تایید	N$تایید+SG*تای+SG COP2PL
تاییدت	N$تایید+SG PRO2SG
تاییدست	N$تایید+SG COP3SG
تاییدش	N$تایید+SG PRO3SG
تاییدی	N$تایید+SG YEH#SG COP2SG
تب	N$تب+SG
تباب	N$تباب+SG
تبار	N$تبار+SG
تبارت	N$تبار+SG PRO2SG
تبارش	N$تبار+SG PRO3SG
تبارم	N$تبار+SG COP1SG#SG PRO1SG
تبارند	N$تبار+SG COP3PL
تباری	N$تبار+SG YEH#SG COP2SG
تباریم	N$تبار+SG COP1PL#SG YEH COP1SG
تباشیر	N$تباشیر+SG
تباشیرش	N$تباشیر+SG PRO3SG
تباعدی	N$تباعد+SG YEH#SG COP2SG
تبانی	N$تب+PL YEH#PL COP2SG*تبانی+SG
تباه	N$تباه+SG
