آباد	AJ$آباد+POS
بی‌رحمی	AJ$بی‌رحم+POS YEH#POS COP2SG
بی‌رحمیست	AJ$بی‌رحم+POS YEH COP3SG
بی‌رحم‌تر	AJ$بی‌رحم+COMP
بی‌رغبت	AJ$بی‌رغبت+POS
بی‌روئی	AJ$بی‌رو+POS YEH
بی‌روت	AJ$بی‌رو+POS PRO2SG
بی‌روح	AJ$بی‌روح+POS
بی‌روی	AJ$بی‌رو+POS EZ#POS COP2SG
بی‌رویت	AJ$بی‌رو+POS PRO2SG
بی‌رویش	AJ$بی‌رو+POS PRO3SG
بی‌رویی	AJ$بی‌رو+POS YEH
بی‌رگ	AJ$بی‌رگ+POS
بی‌ریا	AJ$بی‌ریا+POS
بی‌ریاست	AJ$بی‌ریا+POS COP3SG
بی‌ریایی	AJ$بی‌ریا+POS YEH
بی‌ریش	AJ$بی‌ریش+POS
بی‌زبان	AJ$بی‌زبان+POS
بی‌زبانتر	AJ$بی‌زبان+COMP
بی‌زبانست	AJ$بی‌زبان+POS COP3SG
بی‌زبانم	AJ$بی‌زبان+POS PRO1SG#POS COP1SG
بی‌زبانند	AJ$بی‌زبان+POS COP3PL
بی‌زبانی	AJ$بی‌زبان+POS YEH#POS COP2SG*بی‌زبانی+POS
بی‌زبانیم	AJ$بی‌زبان+POS COP1PL#POS YEH COP1SG*بی‌زبانی+POS PRO1SG#POS COP1SG
بی‌زبان‌تر	AJ$بی‌زبان+COMP
بی‌زحمت	AJ$بی‌زحمت+POS
بی‌زر	AJ$بی‌زر+POS
بی‌زری	AJ$بی‌زر+POS YEH#POS COP2SG
بی‌زریست	AJ$بی‌زر+POS YEH COP3SG
بی‌زمین	AJ$بی‌زمین+POS
بی‌زن	AJ$بی‌زن+POS
بی‌زهره	AJ$بی‌زهره+POS
بی‌زوال	AJ$بی‌زوال+POS
بی‌زوالی	AJ$بی‌زوال+POS YEH#POS COP2SG
بی‌زیان	AJ$بی‌زیان+POS
بی‌زیانست	AJ$بی‌زیان+POS COP3SG
بی‌زیانی	AJ$بی‌زیان+POS YEH#POS COP2SG
بی‌سامان	AJ$بی‌سامان+POS
بی‌سامانی	AJ$بی‌سامان+POS YEH#POS COP2SG
بی‌سامانیم	AJ$بی‌سامان+POS COP1PL#POS YEH COP1SG
بی‌سبب	AJ$بی‌سبب+POS
بی‌سببم	AJ$بی‌سبب+POS PRO1SG#POS COP1SG
بی‌سببی	AJ$بی‌سبب+POS YEH#POS COP2SG
بی‌ستاره	AJ$بی‌ستاره+POS
بی‌سخن	AJ$بی‌سخن+POS
بی‌سخنی	AJ$بی‌سخن+POS YEH#POS COP2SG
بی‌سر	AJ$بی‌سر+POS
بی‌سرانجام	AJ$بی‌سرانجام+POS
بی‌سرانجامی	AJ$بی‌سرانجام+POS YEH#POS COP2SG
بی‌سرت	AJ$بی‌سر+POS PRO2SG
بی‌سرست	AJ$بی‌سر+POS COP3SG
بی‌سرستم	AJ$بی‌سر+POS COP1SG
بی‌سرم	AJ$بی‌سر+POS PRO1SG#POS COP1SG
بی‌سرند	AJ$بی‌سر+POS COP3PL
بی‌سروسامان	AJ$بی‌سروسامان+POS
بی‌سروپا	AJ$بی‌سروپا+POS
بی‌سروپای	AJ$بی‌سروپا+POS EZ#POS COP2SG
بی‌سری	AJ$بی‌سر+POS YEH#POS COP2SG
بی‌سلاح	AJ$بی‌سلاح+POS
بی‌سلاحی	AJ$بی‌سلاح+POS YEH#POS COP2SG
بی‌سنگ	AJ$بی‌سنگ+POS
بی‌سنگم	AJ$بی‌سنگ+POS PRO1SG#POS COP1SG
بی‌سنگی	AJ$بی‌سنگ+POS YEH#POS COP2SG
بی‌سواد	AJ$بی‌سواد+POS
بی‌سکه	AJ$بی‌سکه+POS
بی‌سکه‌ی	AJ$بی‌سکه+POS EZ#POS COP2SG
بی‌سیرت	AJ$بی‌سیرت+POS
بی‌سیم	AJ$بی‌سیم+POS
بی‌سیمی	AJ$بی‌سیم+POS YEH#POS COP2SG
بی‌سیمیم	AJ$بی‌سیم+POS COP1PL#POS YEH COP1SG
بی‌شائبه	AJ$بی‌شائبه+POS
بی‌شایبه‌ی	AJ$بی‌شایبه+POS EZ#POS COP2SG
بی‌شبهه	AJ$بی‌شبهه+POS
بی‌شرف	AJ$بی‌شرف+POS
بی‌شرم	AJ$بی‌شرم+POS
بی‌شرمند	AJ$بی‌شرم+POS COP3PL
بی‌شرمی	AJ$بی‌شرم+POS YEH#POS COP2SG
بی‌شرمیست	AJ$بی‌شرم+POS YEH COP3SG
بی‌شرمیی	AJ$بی‌شرم+POS YEH COP2SG
بی‌شرم‌تر	AJ$بی‌شرم+COMP
بی‌شعور	AJ$بی‌شعور+POS
بی‌شعورم	AJ$بی‌شعور+POS PRO1SG#POS COP1SG
بی‌شوی	AJ$بی‌شوی+POS
بی‌شک	AJ$بی‌شک+POS
بی‌شکست	AJ$بی‌شک+POS COP3SG
بی‌شکل	AJ$بی‌شکل+POS
بی‌شکم	AJ$بی‌شک+POS PRO1SG#POS COP1SG
بی‌شکی	AJ$بی‌شک+POS YEH#POS COP2SG
بی‌شکیست	AJ$بی‌شک+POS YEH COP3SG
بی‌صاحب	AJ$بی‌صاحب+POS
بی‌صبر	AJ$بی‌صبر+POS
بی‌صبرم	AJ$بی‌صبر+POS PRO1SG#POS COP1SG
بی‌صبری	AJ$بی‌صبر+POS YEH#POS COP2SG
بی‌صبریم	AJ$بی‌صبر+POS COP1PL#POS YEH COP1SG
بی‌صدا	AJ$بی‌صدا+POS
بی‌صداست	AJ$بی‌صدا+POS COP3SG
بی‌صرفه	AJ$بی‌صرفه+POS
بی‌صفت	AJ$بی‌صفت+POS
بی‌صفتی	AJ$بی‌صفت+POS YEH#POS COP2SG
بی‌صورت	AJ$بی‌صورت+POS
بی‌صورتست	AJ$بی‌صورت+POS COP3SG
بی‌صورتش	AJ$بی‌صورت+POS PRO3SG
بی‌صورتند	AJ$بی‌صورت+POS COP3PL
بی‌صورتی	AJ$بی‌صورت+POS YEH#POS COP2SG
بی‌طاقت	AJ$بی‌طاقت+POS
بی‌طاقتم	AJ$بی‌طاقت+POS PRO1SG#POS COP1SG
بی‌طاقتی	AJ$بی‌طاقت+POS YEH#POS COP2SG
بی‌طالع	AJ$بی‌طالع+POS
بی‌طالعی	AJ$بی‌طالع+POS YEH#POS COP2SG
بی‌طالعیم	AJ$بی‌طالع+POS COP1PL#POS YEH COP1SG
بی‌طعم	AJ$بی‌طعم+POS
بی‌طمع	AJ$بی‌طمع+POS
بی‌طمعی	AJ$بی‌طمع+POS YEH#POS COP2SG
بی‌طمعیم	AJ$بی‌طمع+POS COP1PL#POS YEH COP1SG
بی‌عارند	AJ$بی‌عار+POS COP3PL
بی‌عدیل	AJ$بی‌عدیل+POS
بی‌عصمتی	AJ$بی‌عصمت+POS YEH#POS COP2SG
بی‌علاج	AJ$بی‌علاج+POS
بی‌علت	AJ$بی‌علت+POS
بی‌علتست	AJ$بی‌علت+POS COP3SG
بی‌علتی	AJ$بی‌علت+POS YEH#POS COP2SG
بی‌غرض	AJ$بی‌غرض+POS
بی‌غرضی	AJ$بی‌غرض+POS YEH#POS COP2SG
بی‌غش	AJ$بی‌غش+POS
بی‌غشم	AJ$بی‌غش+POS PRO1SG#POS COP1SG
بی‌غشی	AJ$بی‌غش+POS YEH#POS COP2SG
بی‌غیرت	AJ$بی‌غیرت+POS
بی‌غیرتی	AJ$بی‌غیرت+POS YEH#POS COP2SG
بی‌فایده	AJ$بی‌فایده+POS
بی‌فایده‌ست	AJ$بی‌فایده+POS COP3SG
بی‌فرجام	AJ$بی‌فرجام+POS
بی‌فرهنگ	AJ$بی‌فرهنگ+POS
بی‌فکر	AJ$بی‌فکر+POS
بی‌فکرت	AJ$بی‌فکر+POS PRO2SG
بی‌قاعده	AJ$بی‌قاعده+POS
بی‌قدر	AJ$بی‌قدر+POS
بی‌قدرت	AJ$بی‌قدر+POS PRO2SG
بی‌قدرتر	AJ$بی‌قدر+COMP
بی‌قدرم	AJ$بی‌قدر+POS PRO1SG#POS COP1SG
بی‌قدری	AJ$بی‌قدر+POS YEH#POS COP2SG
بی‌قرار	AJ$بی‌قرار+POS
بی‌قرارت	AJ$بی‌قرار+POS PRO2SG
بی‌قرارتر	AJ$بی‌قرار+COMP
بی‌قرارست	AJ$بی‌قرار+POS COP3SG
بی‌قرارستی	AJ$بی‌قرار+POS COP2SG
بی‌قرارش	AJ$بی‌قرار+POS PRO3SG
بی‌قرارم	AJ$بی‌قرار+POS PRO1SG#POS COP1SG
بی‌قرارند	AJ$بی‌قرار+POS COP3PL
بی‌قراری	AJ$بی‌قرار+POS YEH#POS COP2SG
بی‌قرارید	AJ$بی‌قرار+POS COP2PL
بی‌قراریست	AJ$بی‌قرار+POS YEH COP3SG
بی‌قراریم	AJ$بی‌قرار+POS COP1PL#POS YEH COP1SG
بی‌قرین	AJ$بی‌قرین+POS
بی‌قرینم	AJ$بی‌قرین+POS PRO1SG#POS COP1SG
بی‌قرینی	AJ$بی‌قرین+POS YEH#POS COP2SG
بی‌قصد	AJ$بی‌قصد+POS
بی‌قوت	AJ$بی‌قوت+POS
بی‌قوتست	AJ$بی‌قوت+POS COP3SG
بی‌قید	AJ$بی‌قید+POS
بی‌قیدی	AJ$بی‌قید+POS YEH#POS COP2SG
بی‌قیمت	AJ$بی‌قیمت+POS
بی‌قیمتست	AJ$بی‌قیمت+POS COP3SG
بی‌قیمتم	AJ$بی‌قیمت+POS PRO1SG#POS COP1SG
بی‌قیمتند	AJ$بی‌قیمت+POS COP3PL
بی‌قیمتی	AJ$بی‌قیمت+POS YEH#POS COP2SG
بی‌لطف	AJ$بی‌لطف+POS
بی‌لطفی	AJ$بی‌لطف+POS YEH#POS COP2SG
بی‌لطفیی	AJ$بی‌لطف+POS YEH COP2SG
بی‌مایه	AJ$بی‌مایه+POS
بی‌مایه‌ام	AJ$بی‌مایه+POS PRO1SG#POS COP1SG
بی‌مایه‌تر	AJ$بی‌مایه+COMP
بی‌مایه‌ی	AJ$بی‌مایه+POS EZ#POS COP2SG
بی‌مثال	AJ$بی‌مثال+POS
بی‌مثالش	AJ$بی‌مثال+POS PRO3SG
بی‌مثالی	AJ$بی‌مثال+POS YEH#POS COP2SG
بی‌مثل	AJ$بی‌مثل+POS
بی‌مثلی	AJ$بی‌مثل+POS YEH#POS COP2SG
بی‌محابا	AJ$بی‌محابا+POS
بی‌محاباش	AJ$بی‌محابا+POS PRO3SG
بی‌محبت	AJ$بی‌محبت+POS
بی‌محل	AJ$بی‌محل+POS
بی‌مراد	AJ$بی‌مراد+POS
بی‌مرادت	AJ$بی‌مراد+POS PRO2SG
بی‌مرادش	AJ$بی‌مراد+POS PRO3SG
بی‌مرادی	AJ$بی‌مراد+POS YEH#POS COP2SG
بی‌مروت	AJ$بی‌مروت+POS
بی‌مروتش	AJ$بی‌مروت+POS PRO3SG
بی‌مروتی	AJ$بی‌مروت+POS YEH#POS COP2SG
بی‌مزد	AJ$بی‌مزد+POS
بی‌مزه	AJ$بی‌مزه+POS
بی‌مزه‌ای	AJ$بی‌مزه+POS COP2SG
بی‌مزه‌تر	AJ$بی‌مزه+COMP
بی‌مضایقه	AJ$بی‌مضایقه+POS
بی‌معرفت	AJ$بی‌معرفت+POS
بی‌معنی	AJ$بی‌معنی+POS
بی‌معنیت	AJ$بی‌معنی+POS PRO2SG
بی‌معنیستی	AJ$بی‌معنی+POS COP2SG
بی‌معنیی	AJ$بی‌معنی+POS EZ#POS COP2SG
بی‌مغز	AJ$بی‌مغز+POS
بی‌مغزش	AJ$بی‌مغز+POS PRO3SG
بی‌مغزند	AJ$بی‌مغز+POS COP3PL
بی‌مغزی	AJ$بی‌مغز+POS YEH#POS COP2SG
بی‌مقدار	AJ$بی‌مقدار+POS
بی‌مقداریم	AJ$بی‌مقدار+POS COP1PL#POS YEH COP1SG
بی‌مناسبت	AJ$بی‌مناسبت+POS
بی‌مهر	AJ$بی‌مهر+POS
بی‌مهرش	AJ$بی‌مهر+POS PRO3SG
بی‌مهره	AJ$بی‌مهره+POS
بی‌مهری	AJ$بی‌مهر+POS YEH#POS COP2SG
بی‌مهریی	AJ$بی‌مهر+POS YEH COP2SG
بی‌مو	AJ$بی‌مو+POS
بی‌موقع	AJ$بی‌موقع+POS
بی‌موی	AJ$بی‌مو+POS EZ#POS COP2SG
بی‌نام	AJ$بی‌نام+POS
بی‌نامت	AJ$بی‌نام+POS PRO2SG
بی‌نام‌تر	AJ$بی‌نام+COMP
بی‌نتیجه	AJ$بی‌نتیجه+POS
بی‌نشان	AJ$بی‌نشان+POS
بی‌نشانت	AJ$بی‌نشان+POS PRO2SG
بی‌نشانست	AJ$بی‌نشان+POS COP3SG
بی‌نشانستی	AJ$بی‌نشان+POS COP2SG
بی‌نشانش	AJ$بی‌نشان+POS PRO3SG
بی‌نشانم	AJ$بی‌نشان+POS PRO1SG#POS COP1SG
بی‌نشانمی	AJ$بی‌نشان+POS PRO1SG YEH#POS PRO1SG COP2SG
بی‌نشانی	AJ$بی‌نشان+POS YEH#POS COP2SG
بی‌نشانیست	AJ$بی‌نشان+POS YEH COP3SG
بی‌نشانیم	AJ$بی‌نشان+POS COP1PL#POS YEH COP1SG
بی‌نظام	AJ$بی‌نظام+POS
بی‌نظامت	AJ$بی‌نظام+POS PRO2SG
بی‌نظامی	AJ$بی‌نظام+POS YEH#POS COP2SG
بی‌نظم	AJ$بی‌نظم+POS
بی‌نظمت	AJ$بی‌نظم+POS PRO2SG
بی‌نظیر	AJ$بی‌نظیر+POS
بی‌نظیرت	AJ$بی‌نظیر+POS PRO2SG
بی‌نظیرست	AJ$بی‌نظیر+POS COP3SG
بی‌نظیرش	AJ$بی‌نظیر+POS PRO3SG
بی‌نظیرم	AJ$بی‌نظیر+POS PRO1SG#POS COP1SG
بی‌نظیری	AJ$بی‌نظیر+POS YEH#POS COP2SG
بی‌نظیریست	AJ$بی‌نظیر+POS YEH COP3SG
بی‌نظیریم	AJ$بی‌نظیر+POS COP1PL#POS YEH COP1SG
بی‌نقص	AJ$بی‌نقص+POS
بی‌نماز	AJ$بی‌نماز+POS
بی‌نمازی	AJ$بی‌نماز+POS YEH#POS COP2SG
بی‌نمود	AJ$بی‌نمود+POS
بی‌نمک	AJ$بی‌نمک+POS
بی‌نمکی	AJ$بی‌نمک+POS YEH#POS COP2SG
بی‌نمک‌تر	AJ$بی‌نمک+COMP
بی‌ننگ	AJ$بی‌ننگ+POS
بی‌ننگند	AJ$بی‌ننگ+POS COP3PL
بی‌ننگی	AJ$بی‌ننگ+POS YEH#POS COP2SG
بی‌نهایت	AJ$بی‌نهایت+POS
بی‌نهایتی	AJ$بی‌نهایت+POS YEH#POS COP2SG
بی‌نوا	AJ$بی‌نوا+POS
بی‌نوائی	AJ$بی‌نوا+POS YEH
بی‌نواتر	AJ$بی‌نوا+COMP
بی‌نواست	AJ$بی‌نوا+POS COP3SG
بی‌نوای	AJ$بی‌نوا+POS EZ#POS COP2SG
بی‌نوایم	AJ$بی‌نوا+POS PRO1SG#POS COP1PL
بی‌نوایی	AJ$بی‌نوا+POS YEH
بی‌نواییم	AJ$بی‌نوا+POS YEH COP1SG
بی‌نور	AJ$بی‌نور+POS
بی‌نورتر	AJ$بی‌نور+COMP
بی‌نورست	AJ$بی‌نور+POS COP3SG
بی‌نوری	AJ$بی‌نور+POS YEH#POS COP2SG
بی‌نیاز	AJ$بی‌نیاز+POS
بی‌نیازست	AJ$بی‌نیاز+POS COP3SG
بی‌نیازش	AJ$بی‌نیاز+POS PRO3SG
بی‌نیازم	AJ$بی‌نیاز+POS PRO1SG#POS COP1SG
بی‌نیازند	AJ$بی‌نیاز+POS COP3PL
بی‌نیازی	AJ$بی‌نیاز+POS YEH#POS COP2SG
بی‌نیازیست	AJ$بی‌نیاز+POS YEH COP3SG
بی‌نیازیم	AJ$بی‌نیاز+POS COP1PL#POS YEH COP1SG
بی‌هستی	AJ$+PREP POS YEH COP2SG
بی‌همال	AJ$بی‌همال+POS
بی‌همالی	AJ$بی‌همال+POS YEH#POS COP2SG
بی‌همت	AJ$بی‌همت+POS
بی‌همتا	AJ$بی‌همتا+POS
بی‌همتائی	AJ$بی‌همتا+POS YEH
بی‌همتائیست	AJ$بی‌همتا+POS YEH COP3SG
بی‌همتاست	AJ$بی‌همتا+POS COP3SG
بی‌همتاستی	AJ$بی‌همتا+POS COP2SG
بی‌همتای	AJ$بی‌همتا+POS EZ#POS COP2SG
بی‌همتی	AJ$بی‌همت+POS YEH#POS COP2SG
بی‌واسطه	AJ$بی‌واسطه+POS
بی‌واسطه‌ی	AJ$بی‌واسطه+POS EZ#POS COP2SG
بی‌وجود	AJ$بی‌وجود+POS
بی‌وجودت	AJ$بی‌وجود+POS PRO2SG
بی‌وجودی	AJ$بی‌وجود+POS YEH#POS COP2SG
بی‌وزن	AJ$بی‌وزن+POS
بی‌وزن‌تر	AJ$بی‌وزن+COMP
بی‌وعده	AJ$بی‌وعده+POS
بی‌وعده‌ای	AJ$بی‌وعده+POS COP2SG
بی‌وفا	AJ$بی‌وفا+POS
بی‌وفائی	AJ$بی‌وفا+POS YEH
بی‌وفائیست	AJ$بی‌وفا+POS YEH COP3SG
بی‌وفات	AJ$بی‌وفا+POS PRO2SG
بی‌وفاتر	AJ$بی‌وفا+COMP
بی‌وفاست	AJ$بی‌وفا+POS COP3SG
بی‌وفای	AJ$بی‌وفا+POS EZ#POS COP2SG
بی‌وفایت	AJ$بی‌وفا+POS PRO2SG
بی‌وفایی	AJ$بی‌وفا+POS YEH
بی‌وقار	AJ$بی‌وقار+POS
بی‌وقت	AJ$بی‌وقت+POS
بی‌وقتی	AJ$بی‌وقت+POS YEH#POS COP2SG
بی‌وقوف	AJ$بی‌وقوف+POS
بی‌وقوفی	AJ$بی‌وقوف+POS YEH#POS COP2SG
بی‌پا	AJ$بی‌پا+POS
بی‌پاتر	AJ$بی‌پا+COMP
بی‌پاستی	AJ$بی‌پا+POS COP2SG
بی‌پای	AJ$بی‌پا+POS EZ#POS COP2SG
بی‌پایاب	AJ$بی‌پایاب+POS
بی‌پایان	AJ$بی‌پایان+POS
بی‌پایانت	AJ$بی‌پایان+POS PRO2SG
بی‌پایانست	AJ$بی‌پایان+POS COP3SG
بی‌پایانی	AJ$بی‌پایان+POS YEH#POS COP2SG
بی‌پایانیم	AJ$بی‌پایان+POS COP1PL#POS YEH COP1SG
بی‌پایم	AJ$بی‌پا+POS PRO1SG#POS COP1PL
بی‌پایه	AJ$بی‌پایه+POS
بی‌پایی	AJ$بی‌پا+POS YEH
بی‌پرده	AJ$بی‌پرده+POS
بی‌پرده‌ی	AJ$بی‌پرده+POS EZ#POS COP2SG
بی‌پروا	AJ$بی‌پروا+POS
بی‌پروائی	AJ$بی‌پروا+POS YEH
بی‌پرواست	AJ$بی‌پروا+POS COP3SG
بی‌پروای	AJ$بی‌پروا+POS EZ#POS COP2SG
بی‌پروایی	AJ$بی‌پروا+POS YEH
بی‌پناه	AJ$بی‌پناه+POS
بی‌پناهت	AJ$بی‌پناه+POS PRO2SG
بی‌پیرم	AJ$بی‌پیر+POS PRO1SG#POS COP1SG
بی‌پیری	AJ$بی‌پیر+POS YEH#POS COP2SG
بی‌چون	AJ$بی‌چون+POS
بی‌چونت	AJ$بی‌چون+POS PRO2SG
بی‌چونتر	AJ$بی‌چون+COMP
بی‌چونست	AJ$بی‌چون+POS COP3SG
بی‌چونش	AJ$بی‌چون+POS PRO3SG
بی‌چونند	AJ$بی‌چون+POS COP3PL
بی‌چونی	AJ$بی‌چون+POS YEH#POS COP2SG
بی‌چیز	AJ$بی‌چیز+POS
بی‌چیزی	AJ$بی‌چیز+POS YEH#POS COP2SG
بی‌کتاب	AJ$بی‌کتاب+POS
بی‌کردار	AJ$بی‌کردار+POS
بی‌کفایت	AJ$بی‌کفایت+POS
بی‌کفایتیست	AJ$بی‌کفایت+POS YEH COP3SG
بی‌کله	AJ$بی‌کله+POS
بی‌کمال	AJ$بی‌کمال+POS
بی‌کمالی	AJ$بی‌کمال+POS YEH#POS COP2SG
بی‌کیف	AJ$بی‌کیف+POS
بی‌کیفی	AJ$بی‌کیف+POS YEH#POS COP2SG
بی‌گزند	AJ$بی‌گزند+POS
بی‌گزندش	AJ$بی‌گزند+POS PRO3SG
بی‌گزندی	AJ$بی‌گزند+POS YEH#POS COP2SG
بی‌گفتگو	AJ$بی‌گفتگو+POS
بی‌گفتگوی	AJ$بی‌گفتگو+POS EZ#POS COP2SG
بی‌گمان	AJ$بی‌گمان+POS
بی‌گمانم	AJ$بی‌گمان+POS PRO1SG#POS COP1SG
بی‌گمانی	AJ$بی‌گمان+POS YEH#POS COP2SG
بی‌گناه	AJ$بی‌گناه+POS
بی‌گناهت	AJ$بی‌گناه+POS PRO2SG
بی‌گناهش	AJ$بی‌گناه+POS PRO3SG
بی‌گناهم	AJ$بی‌گناه+POS PRO1SG
ت	AJ$+POS PRO2SG
تائب	AJ$تائب+POS
تائبم	AJ$تائب+POS PRO1SG#POS COP1SG
تائبی	AJ$تائب+POS YEH#POS COP2SG
تابان	AJ$تابان+POS
تابانت	AJ$تابان+POS PRO2SG
تابانرا	AJ$تابان+POS POSTP
تابانست	AJ$تابان+POS COP3SG
تابانش	AJ$تابان+POS PRO3SG
تابانم	AJ$تابان+POS PRO1SG#POS COP1SG
تابانی	AJ$تابان+POS YEH#POS COP2SG
تابان‌تر	AJ$تابان+COMP
تابخورد	AJ$تابخورد+POS
تابداده	AJ$تابداده+POS
تابداده‌ی	AJ$تابداده+POS EZ#POS COP2SG
تابدار	AJ$تابدار+POS
تابدارت	AJ$تابدار+POS PRO2SG
تابدارش	AJ$تابدار+POS PRO3SG
تابدارم	AJ$تابدار+POS PRO1SG#POS COP1SG
تابداری	AJ$تابدار+POS YEH#POS COP2SG
تابشی	AJ$تابشی+POS
تابع	AJ$تابع+POS
تابعت	AJ$تابع+POS PRO2SG
تابعست	AJ$تابع+POS COP3SG
تابعم	AJ$تابع+POS PRO1SG#POS COP1SG
تابعه	AJ$تابعه+POS
تابناک	AJ$تابناک+POS
تابناکت	AJ$تابناک+POS PRO2SG
تابناکتر	AJ$تابناک+COMP
تابناکست	AJ$تابناک+POS COP3SG
تابناکش	AJ$تابناک+POS PRO3SG
تابناکم	AJ$تابناک+POS PRO1SG#POS COP1SG
تابناکند	AJ$تابناک+POS COP3PL
تابناکی	AJ$تابناک+POS YEH#POS COP2SG
تابناکیم	AJ$تابناک+POS COP1PL#POS YEH COP1SG
تابنده	AJ$تابنده+POS
تابنده‌ات	AJ$تابنده+POS PRO2SG
تابنده‌ای	AJ$تابنده+POS COP2SG
تابنده‌تر	AJ$تابنده+COMP
تابنده‌ش	AJ$تابنده+POS PRO3SG
تابنده‌ی	AJ$تابنده+POS EZ#POS COP2SG
تابندگی	AJ$تابندگی+POS
تابندگیش	AJ$تابندگی+POS PRO3SG
تابه‌ای	AJ$تابه‌ای+POS
تابیده	AJ$تابیده+POS
تابیده‌اند	AJ$تابیده+POS COP3PL
تابیده‌ست	AJ$تابیده+POS COP3SG
تاتار	AJ$تاتار+POS
تاتارست	AJ$تاتار+POS COP3SG
تاتارش	AJ$تاتار+POS PRO3SG
تاتارم	AJ$تاتار+POS PRO1SG#POS COP1SG
تاتاری	AJ$تاتاری+POS*تاتار+POS YEH#POS COP2SG
تاتاریست	AJ$تاتاری+POS COP3SG*تاتار+POS YEH COP3SG
تاتاریش	AJ$تاتاری+POS PRO3SG
تاجیک	AJ$تاجیک+POS
تاجیکست	AJ$تاجیک+POS COP3SG
تاجیکی	AJ$تاجیکی+POS*تاجیک+POS YEH#POS COP2SG
تاخته	AJ$تاخته+POS
تاخته‌ام	AJ$تاخته+POS PRO1SG#POS COP1SG
تاخته‌اند	AJ$تاخته+POS COP3PL
تاخته‌ای	AJ$تاخته+POS COP2SG
تاخته‌ایم	AJ$تاخته+POS COP1PL
تاخته‌ست	AJ$تاخته+POS COP3SG
تاخیری	AJ$تاخیری+POS
تار	AJ$تار+POS
تارت	AJ$تار+POS PRO2SG
تارست	AJ$تار+POS COP3SG
تارستی	AJ$تار+POS COP2SG
تارش	AJ$تار+POS PRO3SG
تارم	AJ$تار+POS PRO1SG#POS COP1SG
تارک	AJ$تارک+POS
تارکت	AJ$تارک+POS PRO2SG
تارکش	AJ$تارک+POS PRO3SG
تارکشان	AJ$تارک+POS PRO3PL
تارکم	AJ$تارک+POS PRO1SG#POS COP1SG
تارکی	AJ$تارک+POS YEH#POS COP2SG
تاری	AJ$تار+POS YEH#POS COP2SG
تاریخی	AJ$تاریخی+POS
تاریست	AJ$تار+POS YEH COP3SG
تاریستی	AJ$تار+POS YEH COP2SG
تاریک	AJ$تاریک+POS
تاریکت	AJ$تاریک+POS PRO2SG
تاریکتر	AJ$تاریک+COMP
تاریکست	AJ$تاریک+POS COP3SG
تاریکش	AJ$تاریک+POS PRO3SG
تاریکشان	AJ$تاریک+POS PRO3PL
تاریکم	AJ$تاریک+POS PRO1SG#POS COP1SG
تاریکه	AJ$تار+POS COP2SG CONJ#POS YEH CONJ
تاریکی	AJ$تاریک+POS YEH#POS COP2SG
تاریکیست	AJ$تاریک+POS YEH COP3SG
تاریکیی	AJ$تاریک+POS YEH COP2SG
تاریک‌تر	AJ$تاریک+COMP
تازانه	AJ$تازانه+POS
تازانه‌ی	AJ$تازانه+POS EZ#POS COP2SG
تازنده	AJ$تازنده+POS
تازنده‌ی	AJ$تازنده+POS EZ#POS COP2SG
تازه	AJ$تازه+POS
تازه‌است	AJ$تازه+POS COP3SG
تازه‌اش	AJ$تازه+POS PRO3SG
تازه‌ام	AJ$تازه+POS PRO1SG#POS COP1SG
تازه‌امید	AJ$تازه+POS PRO1SG COP2PL
تازه‌ای	AJ$تازه+POS COP2SG
تازه‌ایم	AJ$تازه+POS COP1PL
تازه‌ت	AJ$تازه+POS PRO2SG
تازه‌تر	AJ$تازه+COMP
تازه‌ترست	AJ$تازه+COMP COP3SG
تازه‌ترم	AJ$تازه+COMP COP1SG#COMP PRO1SG
تازه‌تریم	AJ$تازه+COMP COP1PL#COMP YEH COP1SG
تازه‌ترین	AJ$تازه+SUP
تازه‌رس	AJ$تازه‌رس+POS
تازه‌رو	AJ$تازه‌رو+POS
تازه‌روئی	AJ$تازه‌رو+POS YEH
تازه‌روی	AJ$تازه‌رو+POS EZ#POS COP2SG
تازه‌رویی	AJ$تازه‌رو+POS YEH
تازه‌ست	AJ$تازه+POS COP3SG
تازه‌شان	AJ$تازه+POS PRO3PL
تازه‌ی	AJ$تازه+POS EZ#POS COP2SG
تازه‌یی	AJ$تازه+POS YEH
تازک	AJ$تازک+POS
تازی	AJ$تازی+POS
تازیان	AJ$تازیان+POS
تازیانش	AJ$تازیان+POS PRO3SG
تازیانی	AJ$تازیان+POS YEH#POS COP2SG
تازیت	AJ$تازی+POS PRO2SG
تازیست	AJ$تازی+POS COP3SG
تازیستی	AJ$تازی+POS COP2SG
تازیش	AJ$تازی+POS PRO3SG
تازیم	AJ$تازی+POS PRO1SG#POS COP1SG
تازیی	AJ$تازی+POS EZ#POS COP2SG
تازی‌ها	AJ$تازی‌ها+POS
تاس	AJ$تاس+POS
تاست	AJ$تاس+POS PRO2SG
تاسی	AJ$تاس+POS YEH#POS COP2SG
تافته	AJ$تافته+POS
تافته‌ام	AJ$تافته+POS PRO1SG#POS COP1SG
تافته‌ای	AJ$تافته+POS COP2SG
تافته‌تر	AJ$تافته+COMP
تافته‌ست	AJ$تافته+POS COP3SG
تافته‌شان	AJ$تافته+POS PRO3PL
تافته‌ی	AJ$تافته+POS EZ#POS COP2SG
تام	AJ$تام+POS
تامی	AJ$تام+POS YEH#POS COP2SG
