آ	N$آ+SG#
اخترها	N$اختر+PL#
اخترهاست	N$اختر+PL COP3SG#
اخترهای	N$اختر+PL COP2SG#PL EZ#
اختروش	N$اختروش+SG#
اخترگوی	N$اخترگوی+SG#
اختری	N$اختر+SG YEH#SG COP2SG#
اختریست	N$اختر+SG YEH COP3SG#
اختریم	N$اختر+SG COP1PL#SG YEH COP1SG#
اختصار	N$اختصار+SG#
اختصاص	N$اختصاص+SG#
اختفی	N$اختف+SG YEH#SG COP2SG#
اختلاج	N$اختلاج+SG#
اختلاجی	N$اختلاج+SG YEH#SG COP2SG#
اختلاط	N$اختلاط+SG#
اختلاف	N$اختلاف+SG#
اختلافست	N$اختلاف+SG COP3SG#
اختلافی	N$اختلاف+SG YEH#SG COP2SG#
اختلال	N$اختلال+SG#
اختلالی	N$اختلال+SG YEH#SG COP2SG#
اختناقست	N$اختناق+SG COP3SG#
اخته	N$اخته+SG#
اختگان	N$اخته+PL#
اختیار	N$اختیار+SG#
اختیارات	N$اختیارات+SG#
اختیاراتت	N$اختیارات+SG PRO2SG#
اختیاران	N$اختیار+PL#
اختیارت	N$اختیار+SG PRO2SG#
اختیارست	N$اختیار+SG COP3SG#
اختیارش	N$اختیار+SG PRO3SG#
اختیارم	N$اختیار+SG PRO1SG#SG COP1SG#
اختیارها	N$اختیار+PL#
اختیاری	AJ$اختیاری+POS#N$اختیار+SG YEH#SG COP2SG#
اختیارید	N$اختیار+SG COP2PL#
اختیاریست	AJ$اختیاری+POS COP3SG#N$اختیار+SG YEH COP3SG#
اخذ	N$اخذ+SG#
اخذت	N$اخذ+SG PRO2SG#
اخذش	N$اخذ+SG PRO3SG#
اخرا	N$اخ+SG POSTP#اخرا+SG#
اخراج	AJ$اخراج+POS#N$اخراج+SG#خرج+PL#
اخراجات	N$اخراج+PL#اخراجات+SG#خرج+PL#
اخرس	N$اخرس+SG#
اخرم	N$اخرم+SG#
اخروی	AJ$اخروی+POS#
اخس	AJ$اخس+POS#
اخستان	AJ$اخس+POS PRO2PL#
اخشم	AJ$اخشم+POS#N$اخ+SG PRO3SG COP1SG#
اخشمی	AJ$اخشم+POS COP2SG#POS YEH#
اخشی	N$اخ+SG PRO3SG COP2SG#SG PRO3SG YEH#
اخشیج	N$اخشیج+SG#
اخشیجان	N$اخشیج+PL#
اخص	AJ$اخص+POS#
اخضر	AJ$اخضر+POS#
اخضرت	AJ$اخضر+POS PRO2SG#
اخضرست	AJ$اخضر+POS COP3SG#
اخضرش	AJ$اخضر+POS PRO3SG#
اخضرم	AJ$اخضر+POS COP1SG#POS PRO1SG#
اخضرند	AJ$اخضر+POS COP3PL#
اخضری	AJ$اخضر+POS COP2SG#POS YEH#
اخضریم	AJ$اخضر+POS COP1PL#POS YEH COP1SG#
اخطار	N$اخطار+SG#خطر+PL#
اخفش	AJ$اخف+POS PRO3SG#N$اخفش+SG#
اخفی	AJ$اخف+POS COP2SG#POS YEH#اخفی+POS#
اخلا	N$خلیل+PL#
اخلائی	N$خلیل+PL YEH#
اخلاص	N$اخلاص+SG#
اخلاصش	N$اخلاص+SG PRO3SG#
اخلاصم	N$اخلاص+SG PRO1SG#SG COP1SG#
اخلاصند	N$اخلاص+SG COP3PL#
اخلاصی	N$اخلاص+SG YEH#SG COP2SG#
اخلاصیست	N$اخلاص+SG YEH COP3SG#
اخلاص‌ها	N$اخلاص+PL#
اخلاط	N$اخلاط+SG#خلط+PL#
اخلاطها	N$اخلاط+PL#
اخلاق	N$اخلاق+SG#خلق+PL#
اخلاقت	N$اخلاق+SG PRO2SG#خلق+PL PRO2SG#
اخلاقش	N$اخلاق+SG PRO3SG#خلق+PL PRO3SG#
اخلاقم	N$اخلاق+SG PRO1SG#SG COP1SG#خلق+PL COP1SG#PL PRO1SG#
اخلاقی	AJ$اخلاقی+POS#N$اخلاق+SG YEH#SG COP2SG#خلق+PL YEH#PL COP2SG#
اخلایی	N$خلیل+PL YEH#
اخماس	N$اخماس+SG#خمس+PL#
اخوات	N$اخت+PL#اخوات+SG#
اخوان	N$اخوان+SG#اخ+PL#
اخوانش	N$اخوان+SG PRO3SG#اخ+PL PRO3SG#
اخوانم	N$اخوان+SG PRO1SG#SG COP1SG#اخ+PL COP1SG#PL PRO1SG#
اخوانی	N$اخوان+SG YEH#SG COP2SG#اخ+PL YEH#PL COP2SG#
اخوت	N$اخوت+SG#
اخوه	N$اخ+PL#
اخوه‌ی	N$اخ+PL COP2SG#PL EZ#
اخوی	N$اخوی+SG#
اخگر	N$اخگر+SG#
اخگرش	N$اخگر+SG PRO3SG#
اخگرم	N$اخگر+SG PRO1SG#SG COP1SG#
اخگرند	N$اخگر+SG COP3PL#
اخگرها	N$اخگر+PL#
اخگری	N$اخگر+SG YEH#SG COP2SG#
اخگریم	N$اخگر+SG COP1PL#SG YEH COP1SG#
اخی	N$اخ+SG YEH#SG COP2SG#اخی+SG#
اخیار	N$اخیار+SG#خیر+PL#
اخیر	AJ$اخیر+POS#
اخیرم	AJ$اخیر+POS COP1SG#POS PRO1SG#
اخیه	N$اخیه+SG#
اداء	N$اداء+SG#
ادات	N$ادات+SG#
اداری	AJ$اداری+POS#
ادام	N$ادام+SG#
ادبا	N$ادیب+PL#
ادبار	N$ادبار+SG#
ادبارم	N$ادبار+SG PRO1SG#SG COP1SG#
ادبارها	N$ادبار+PL#
ادباری	N$ادبار+SG YEH#SG COP2SG#
ادباست	N$ادیب+PL COP3SG#
ادبست	AJ$ادبس+POS PRO2SG#
ادبی	AJ$ادبی+POS#
ادبیر	N$ادبیر+SG#
ادبیران	N$ادبیر+PL#
ادبیرشان	N$ادبیر+SG PRO3PL#
ادخل	N$ادخل+SG#
ادخلی	N$ادخل+SG YEH#SG COP2SG#
ادراج	N$ادراج+SG#درج+PL#
ادرار	N$ادرار+SG#
ادرارش	N$ادرار+SG PRO3SG#
ادرارم	N$ادرار+SG PRO1SG#SG COP1SG#
ادراری	AJ$ادراری+POS#N$ادراری+SG#ادرار+SG YEH#SG COP2SG#
ادراک	N$درک+PL#ادراک+SG#
ادراکت	N$درک+PL PRO2SG#ادراک+SG PRO2SG#
ادراکش	N$درک+PL PRO3SG#ادراک+SG PRO3SG#
ادراکشان	N$درک+PL PRO3PL#ادراک+SG PRO3PL#
ادراکها	N$ادراک+PL#
ادراکی	N$درک+PL YEH#PL COP2SG#ادراک+SG YEH#SG COP2SG#
ادراک‌مند	N$درک+PL PRO1SG COP3PL#ادراک+SG PRO1SG COP3PL#
ادراک‌ها	N$ادراک+PL#
ادریس	N$ادریس+SG#
ادریسش	N$ادریس+SG PRO3SG#
ادریسم	N$ادریس+SG PRO1SG#SG COP1SG#
ادریسی	N$ادریس+SG YEH#SG COP2SG#ادریسی+SG#
ادعاست	N$ادعا+SG COP3SG#
ادعای	N$ادعا+SG EZ#SG COP2SG#
ادعیه	N$دعاء+PL#دعا+PL#ادعیه+SG#
ادعیه‌ات	N$دعاء+PL PRO2SG#دعا+PL PRO2SG#ادعیه+SG PRO2SG#
ادعیه‌ام	N$دعاء+PL COP1SG#PL PRO1SG#دعا+PL COP1SG#PL PRO1SG#ادعیه+SG PRO1SG#SG COP1SG#
ادعیه‌ی	N$دعاء+PL COP2SG#PL EZ#دعا+PL COP2SG#PL EZ#ادعیه+SG EZ#SG COP2SG#
ادغام	N$ادغام+SG#
ادمان	N$ادمان+SG#ادم+PL#
ادمانی	N$ادمان+SG YEH#SG COP2SG#ادم+PL YEH#PL COP2SG#
ادمی	N$ادم+SG YEH#SG COP2SG#
ادنی	AJ$ادنی+POS#
ادنی‌ست	AJ$ادنی+POS COP3SG#
ادهم	AJ$ادهم+POS#N$ادهم+SG#
ادهمت	AJ$ادهم+POS PRO2SG#N$ادهم+SG PRO2SG#
ادهمست	AJ$ادهم+POS COP3SG#N$ادهم+SG COP3SG#
ادهمش	AJ$ادهم+POS PRO3SG#N$ادهم+SG PRO3SG#
ادهمی	AJ$ادهم+POS COP2SG#POS YEH#N$ادهم+SG YEH#SG COP2SG#
ادوار	N$دوره+PL#ادوار+SG#دور+PL#
ادویه	N$دوا+PL#ادویه+SG#
ادکن	AJ$ادکن+POS#
ادکنست	AJ$ادکن+POS COP3SG#
ادکنی	AJ$ادکن+POS COP2SG#POS YEH#
ادیان	N$ادیان+SG#دین+PL#
ادیب	AJ$ادیب+POS#N$ادیب+SG#
ادیبان	N$ادیب+PL#
ادیبانش	N$ادیب+PL PRO3SG#
ادیبش	AJ$ادیب+POS PRO3SG#N$ادیب+SG PRO3SG#
ادیبم	AJ$ادیب+POS COP1SG#POS PRO1SG#N$ادیب+SG PRO1SG#SG COP1SG#
ادیبی	AJ$ادیب+POS COP2SG#POS YEH#N$ادیب+SG YEH#SG COP2SG#
ادیم	N$ادیم+SG#
ادیمت	N$ادیم+SG PRO2SG#
ادیمست	N$ادیم+SG COP3SG#
ادیمش	N$ادیم+SG PRO3SG#
ادیمیم	N$ادیم+SG COP1PL#SG YEH COP1SG#
اذا	N$اذا+SG#
اذان	N$اذان+SG#
اذانت	N$اذان+SG PRO2SG#
اذانی	N$اذان+SG YEH#SG COP2SG#
اذفر	AJ$اذفر+POS#
اذفرست	AJ$اذفر+POS COP3SG#
اذفرش	AJ$اذفر+POS PRO3SG#
اذفرم	AJ$اذفر+POS COP1SG#POS PRO1SG#
اذل	AJ$اذل+POS#
اذلال	N$اذلال+SG#
اذلالها	N$اذلال+PL#
اذلی	AJ$اذل+POS COP2SG#POS YEH#
اذن	N$اذن+SG#
اذناب	N$اذناب+SG#ذنب+PL#
اذنی	N$اذن+SG YEH#SG COP2SG#
اذهان	N$اذهان+SG#ذهن+PL#
اذواق	N$ذوق+PL#اذواق+SG#
اذکار	N$ذکر+PL#اذکار+SG#
اذی	N$اذی+SG#
اذیت	N$اذیت+SG#
اراجیف	N$اراجیف+SG#
اراجیفست	N$اراجیف+SG COP3SG#
اراجیفی	N$اراجیف+SG YEH#SG COP2SG#
ارادات	N$اراده+PL#
ارادت	N$ارادت+SG#
ارادتست	N$ارادت+SG COP3SG#
ارادتش	N$ارادت+SG PRO3SG#
ارادتی	N$ارادت+SG YEH#SG COP2SG#
اراده	N$اراده+SG#
اراده‌ی	N$اراده+SG EZ#SG COP2SG#
ارادی	AJ$ارادی+POS#
ارادیست	AJ$ارادی+POS COP3SG#
اراذل	N$اراذل+SG#
اراک	N$اراک+SG#
ارباب	N$ارباب+SG#رب+PL#
اربابند	N$ارباب+SG COP3PL#رب+PL COP3PL#
اربابی	AJ$اربابی+POS#N$ارباب+SG YEH#SG COP2SG#رب+PL YEH#PL COP2SG#
اربع	AJ$اربع+POS#
اربعه	AJ$اربعه+POS#N$اربعه+SG#
اربعین	N$اربعین+SG#
اربعینی	N$اربعین+SG YEH#SG COP2SG#
ارت	N$ارت+SG#
ارتاق	N$ارتاق+SG#
ارتباط	N$ارتباط+SG#
ارتجاج	N$ارتجاج+SG#
ارتحال	N$ارتحال+SG#
ارتحالی	N$ارتحال+SG YEH#SG COP2SG#
ارتداد	N$ارتداد+SG#
ارتزاق	N$ارتزاق+SG#
ارتسام	N$ارتسام+SG#
ارتعاد	N$ارتعاد+SG#
ارتعاش	N$ارتعاش+SG#
ارتفاع	N$ارتفاع+SG#
ارتفاعی	N$ارتفاع+SG YEH#SG COP2SG#
ارتفاق	N$ارتفاق+SG#
ارتفاقی	N$ارتفاق+SG YEH#SG COP2SG#
ارتمی	N$ارت+SG PRO1SG COP2SG#SG PRO1SG YEH#
ارتنگ	N$ارتنگ+SG#
ارتکاب	N$ارتکاب+SG#
ارتیاب	N$ارتیاب+SG#
ارتیاح	N$ارتیاح+SG#
ارتیاحی	N$ارتیاح+SG YEH#SG COP2SG#
ارث	N$ارث+SG#
ارثی	AJ$ارثی+POS#N$ارث+SG YEH#SG COP2SG#
ارج	N$ارج+SG#
ارجاسب	N$ارجاسب+SG#
ارجام	N$ارجا+SG COP1SG#رجا+PL COP1SG#
ارجان	N$ارج+PL#ارجان+SG#
ارجش	N$ارج+SG PRO3SG#
ارجل	AJ$ارجل+POS#N$رجل+PL#ارجل+SG#
ارجم	N$ارج+SG PRO1SG#SG COP1SG#
ارجمند	AJ$ارجمند+POS#N$ارجمند+SG#ارج+SG PRO1SG COP3PL#
ارجمندان	N$ارجمند+PL#
ارجمندت	AJ$ارجمند+POS PRO2SG#N$ارجمند+SG PRO2SG#
ارجمندست	AJ$ارجمند+POS COP3SG#N$ارجمند+SG COP3SG#
ارجمندش	AJ$ارجمند+POS PRO3SG#N$ارجمند+SG PRO3SG#
ارجمندم	AJ$ارجمند+POS COP1SG#POS PRO1SG#N$ارجمند+SG PRO1SG#SG COP1SG#
ارجمندند	AJ$ارجمند+POS COP3PL#N$ارجمند+SG COP3PL#
ارجمندی	AJ$ارجمند+POS COP2SG#POS YEH#N$ارجمند+SG YEH#SG COP2SG#
ارجنه	AJ$ارجنه+POS#
ارحام	N$ارحام+SG#رهم+PL#رحم+PL#
ارحم	AJ$ارحم+POS#
ارحمی	AJ$ارحم+POS COP2SG#POS YEH#
ارد	N$ارد+SG#
اردانی	N$ارد+PL YEH#PL COP2SG#
اردبیل	N$اردبیل+SG#
اردبیلی	N$اردبیل+SG YEH#SG COP2SG#
اردتم	N$ارد+SG PRO2SG COP1SG#
اردشیر	N$اردشیر+SG#
اردشیرست	N$اردشیر+SG COP3SG#
اردشیرش	N$اردشیر+SG PRO3SG#
اردشیرم	N$اردشیر+SG PRO1SG#SG COP1SG#
اردشیری	N$اردشیر+SG YEH#SG COP2SG#
اردمی	N$ارد+SG PRO1SG COP2SG#SG PRO1SG YEH#
اردن	N$اردن+SG#
ارده	N$ارده+SG#
اردو	N$اردو+SG#
اردوان	N$اردو+PL#اردوان+SG#
اردوانی	N$اردو+PL YEH#PL COP2SG#اردوان+SG YEH#SG COP2SG#
اردوی	N$اردو+SG EZ#SG COP2SG#
اردک	N$اردک+SG#
اردی	N$ارد+SG YEH#SG COP2SG#اردی+SG#
اردی‌بهشت	N$اردی‌بهشت+SG#
ارذال	N$ارذال+SG#رذل+PL#
ارذالی	N$ارذال+SG YEH#SG COP2SG#رذل+PL YEH#PL COP2SG#
ارز	N$ارز+SG#
ارزاق	N$رزق+PL#ارزاق+SG#
ارزاقش	N$رزق+PL PRO3SG#ارزاق+SG PRO3SG#
ارزان	AJ$ارزان+POS#N$ارز+PL#
ارزانتر	AJ$ارزان+COMP#
ارزانست	AJ$ارزان+POS COP3SG#N$ارز+PL COP3SG#
ارزانش	AJ$ارزان+POS PRO3SG#N$ارز+PL PRO3SG#
ارزانم	AJ$ارزان+POS COP1SG#POS PRO1SG#N$ارز+PL COP1SG#PL PRO1SG#
ارزانند	AJ$ارزان+POS COP3PL#N$ارز+PL COP3PL#
ارزانکه	AJ$ارزان+POS CONJ#N$ارز+PL CONJ#
ارزانی	AJ$ارزانی+POS#ارزان+POS COP2SG#POS YEH#N$ارز+PL YEH#PL COP2SG#
ارزانیست	AJ$ارزانی+POS COP3SG#ارزان+POS YEH COP3SG#N$ارز+PL YEH COP3SG#
ارزانیم	AJ$ارزانی+POS COP1SG#ارزان+POS COP1PL#POS YEH COP1SG#N$ارز+PL COP1PL#PL YEH COP1SG#
ارزانیی	AJ$ارزانی+POS EZ#POS COP2SG#ارزان+POS YEH COP2SG#N$ارز+PL YEH COP2SG#
ارزان‌تر	AJ$ارزان+COMP#
ارزش	N$ارز+SG PRO3SG#ارزش+SG#
ارزشان	N$ارز+SG PRO3PL#ارزش+PL#
ارزشت	N$ارزش+SG PRO2SG#
ارزم	N$ارز+SG PRO1SG#SG COP1SG#
ارزن	N$ارزن+SG#
ارزنت	N$ارزن+SG PRO2SG#
ارزند	N$ارز+SG COP3PL#
ارزنده	AJ$ارزنده+POS#
ارزنده‌اش	AJ$ارزنده+POS PRO3SG#
ارزنده‌ای	AJ$ارزنده+POS COP2SG#
ارزنده‌تر	AJ$ارزنده+COMP#
ارزنست	N$ارزن+SG COP3SG#
ارزنش	N$ارزن+SG PRO3SG#
ارزنم	N$ارزن+SG PRO1SG#SG COP1SG#
ارزنند	N$ارزن+SG COP3PL#
ارزنی	N$ارزن+SG YEH#SG COP2SG#
ارزه	N$ارزه+SG#
ارزی	AJ$ارزی+POS#N$ارز+SG YEH#SG COP2SG#
ارزیابی	N$ارزیابی+SG#ارزیاب+SG YEH#SG COP2SG#
ارزید	N$ارز+SG COP2PL#
ارزیز	N$ارزیز+SG#
ارزیزم	N$ارزیز+SG PRO1SG#SG COP1SG#
ارزیزی	N$ارزیز+SG YEH#SG COP2SG#
ارس	N$ارس+SG#
ارسال	N$ارسال+SG#
ارستانم	N$ارس+SG PRO2PL COP1SG#
ارسطو	N$ارسطو+SG#
ارسطوی	N$ارسطو+SG EZ#SG COP2SG#
ارسلان	N$ارسلان+SG#
ارسلانی	N$ارسلان+SG YEH#SG COP2SG#
ارسی	N$ارس+SG YEH#SG COP2SG#ارسی+SG#
ارسیست	N$ارس+SG YEH COP3SG#ارسی+SG COP3SG#
ارش	N$ارش+SG#
ارشاد	N$ارشاد+SG#
ارشادت	N$ارشاد+SG PRO2SG#
ارشادش	N$ارشاد+SG PRO3SG#
ارشادشان	N$ارشاد+SG PRO3PL#
ارشادم	N$ارشاد+SG PRO1SG#SG COP1SG#
ارشادی	N$ارشاد+SG YEH#SG COP2SG#
ارشمیدس	N$ارشمیدس+SG#
ارض	N$ارض+SG#
ارضی	N$ارض+SG YEH#SG COP2SG#ارضی+SG#
ارضین	N$ارضین+SG#ارض+PL#
ارعد	AJ$ارعد+POS#
ارغن	N$ارغن+SG#
ارغنده	AJ$ارغنده+POS#
ارغنده‌ای	AJ$ارغنده+POS COP2SG#
ارغنون	N$ارغنون+SG#
ارغنونش	N$ارغنون+SG PRO3SG#
ارغنونم	N$ارغنون+SG PRO1SG#SG COP1SG#
ارغنونی	N$ارغنون+SG YEH#SG COP2SG#
ارغنون‌ها	N$ارغنون+PL#
ارغوان	AJ$ارغوان+POS#
ارغوانت	AJ$ارغوان+POS PRO2SG#
ارغوانرا	AJ$ارغوان+POS POSTP#
ارغوانست	AJ$ارغوان+POS COP3SG#
ارغوانش	AJ$ارغوان+POS PRO3SG#
ارغوانم	AJ$ارغوان+POS COP1SG#POS PRO1SG#
ارغوانی	AJ$ارغوانی+POS#ارغوان+POS COP2SG#POS YEH#
ارغوانیم	AJ$ارغوانی+POS COP1SG#ارغوان+POS COP1PL#POS YEH COP1SG#
ارفع	AJ$ارفع+POS#N$ارفع+SG#
ارق	AJ$ارق+POS#N$ارق+SG#
ارقام	N$رقیق+PL COP1SG#رقم+PL#ارقام+SG#ارقا+SG COP1SG#
ارقم	AJ$ارق+POS COP1SG#POS PRO1SG#ارقم+POS#N$ارق+SG PRO1SG#SG COP1SG#ارقم+SG#
ارقمی	AJ$ارق+POS PRO1SG COP2SG#POS PRO1SG YEH#ارقم+POS COP2SG#POS YEH#N$ارق+SG PRO1SG COP2SG#SG PRO1SG YEH#ارقم+SG YEH#SG COP2SG#
ارم	N$ارم+SG#
ارمان	N$ارمان+SG#ارم+PL#
ارمانش	N$ارمان+SG PRO3SG#ارم+PL PRO3SG#
ارمانم	N$ارمان+SG PRO1SG#SG COP1SG#ارم+PL COP1SG#PL PRO1SG#
ارمد	AJ$ارمد+POS#
ارمدست	AJ$ارمد+POS COP3SG#
ارمزد	N$ارمزد+SG#
ارمست	N$ارم+SG COP3SG#
ارمش	N$ارم+SG PRO3SG#
ارمغان	N$ارمغان+SG#
ارمغانم	N$ارمغان+SG PRO1SG#SG COP1SG#
ارمغانی	N$ارمغان+SG YEH#SG COP2SG#
ارمغانیم	N$ارمغان+SG COP1PL#SG YEH COP1SG#
ارمغانیی	N$ارمغان+SG YEH COP2SG#
ارمغان‌های	N$ارمغان+PL COP2SG#PL EZ#
ارمنی	AJ$ارمنی+POS#N$ارمنی+SG#
ارمی	N$ارم+SG YEH#SG COP2SG#
ارنبست	N$ارنب+SG COP3SG#
ارنج	N$ارنج+SG#
ارنواز	N$ارنواز+SG#
اره	N$اره+SG#
اره‌ای	N$اره+SG COP2SG#
اره‌های	N$اره+PL COP2SG#PL EZ#
اره‌ی	N$اره+SG EZ#SG COP2SG#
اره‌یی	N$اره+SG YEH#
ارواح	N$ارواح+SG#روح+PL#
ارواحست	N$ارواح+SG COP3SG#روح+PL COP3SG#
ارواحشان	N$ارواح+SG PRO3PL#روح+PL PRO3PL#
ارواحند	N$ارواح+SG COP3PL#روح+PL COP3PL#
ارواحها	N$ارواح+PL#
ارواحی	N$ارواح+SG YEH#SG COP2SG#روح+PL YEH#PL COP2SG#
اروند	N$اروند+SG#
اروندرود	N$اروندرود+SG#
ارچه	N$ارچه+SG#
ارژنگ	N$ارژنگ+SG#
ارک	N$ارک+SG#
ارکان	N$ارکان+SG#ارک+PL#رکن+PL#
ارکانت	N$ارکان+SG PRO2SG#ارک+PL PRO2SG#رکن+PL PRO2SG#
ارکانست	N$ارکان+SG COP3SG#ارک+PL COP3SG#رکن+PL COP3SG#
ارکانش	N$ارکان+SG PRO3SG#ارک+PL PRO3SG#رکن+PL PRO3SG#
ارکانم	N$ارکان+SG PRO1SG#SG COP1SG#ارک+PL COP1SG#PL PRO1SG#رکن+PL COP1SG#PL PRO1SG#
ارکانند	N$ارکان+SG COP3PL#ارک+PL COP3PL#رکن+PL COP3PL#
ارکانها	N$ارکان+PL#
ارکانهای	N$ارکان+PL COP2SG#PL EZ#
ارکانی	AJ$ارکانی+POS#N$ارکان+SG YEH#SG COP2SG#ارک+PL YEH#PL COP2SG#رکن+PL YEH#PL COP2SG#
ارکانیان	N$ارکانیان+SG#
ارکانیی	AJ$ارکانی+POS EZ#POS COP2SG#N$ارکان+SG YEH COP2SG#ارک+PL YEH COP2SG#رکن+PL YEH COP2SG#
ارکند	N$ارک+SG COP3PL#
ارگ	N$ارگ+SG#
اریاح	N$ریح+PL#اریاح+SG#
از	AJ$+PREP POS#N$+PREP SG#ناشنوائیان+PREP PL#از+SG#
ازآتش	N$آتش+PREP SG#
ازآرام	AJ$آرام+PREP POS#N$آرا+PREP SG COP1SG#آرام+PREP SG#رأی+PREP PL COP1SG#
ازآسمان	N$آسم+PREP PL#آسمان+PREP SG#
ازآشنائی	AJ$آشنا+PREP POS YEH#N$آشنا+PREP SG YEH#
ازآن	N$آن+PREP SG#
ازآنکه	N$آن+PREP SG CONJ#
ازآینه	N$آینه+PREP SG#
ازاب	N$اب+PREP SG#
ازاحمد	AJ$احمد+PREP POS#N$احمد+PREP SG#
ازار	N$ازار+SG#
ازارش	N$ازار+SG PRO3SG#ارش+PREP SG#
ازارم	N$ارم+PREP SG#ازار+SG PRO1SG#SG COP1SG#
ازارکی	N$ارک+PREP SG COP2SG#PREP SG YEH#
ازاری	N$ازار+SG YEH#SG COP2SG#
ازاسب	N$اسب+PREP SG#
ازاسپ	N$اسپ+PREP SG#
ازاشتیاق	N$اشتیاق+PREP SG#
ازاعتقاد	N$اعتقاد+PREP SG#
ازاقصای	AJ$اقصا+PREP POS COP2SG#PREP POS EZ#
ازال	N$ال+PREP SG#
ازان	N$+PREP PL#از+PL#ان+PREP SG#
ازانت	N$+PREP PL PRO2SG#از+PL PRO2SG#ان+PREP SG PRO2SG#
ازاندیشه	N$اندیشه+PREP SG#
ازاندیشه‌ای	AJ$اندیشه‌ای+PREP POS#N$اندیشه+PREP SG COP2SG#
ازانش	N$+PREP PL PRO3SG#از+PL PRO3SG#ان+PREP SG PRO3SG#
ازانم	N$+PREP PL PRO1SG#PREP PL COP1SG#از+PL COP1SG#PL PRO1SG#ان+PREP SG COP1SG#PREP SG PRO1SG#
ازانک	N$انک+PREP SG#
ازانکه	N$+PREP PL CONJ#از+PL CONJ#ان+PREP SG CONJ#
ازانی	AJ$انی+PREP POS#N$+PREP PL YEH#PREP PL COP2SG#از+PL YEH#PL COP2SG#ان+PREP SG COP2SG#PREP SG YEH#
ازایران	N$ایر+PREP PL#ایران+PREP SG#
ازاین	AJ$ازاین+POS#N$این+PREP SG#
ازاینها	N$این+PREP PL#
ازباد	N$باد+PREP SG#
ازبار	N$بار+PREP SG#
ازباره	N$باره+PREP SG#
ازباستان	AJ$باستان+PREP POS#N$باستان+PREP SG#باس+PREP SG PRO2PL#
ازبدنامی	AJ$بدنام+PREP POS YEH#PREP POS COP2SG#N$بدنامی+PREP SG#
ازبر	AJ$بر+PREP POS#N$بر+PREP SG#
ازبرادر	N$برادر+PREP SG#
ازبرتریست	AJ$برتر+PREP POS YEH COP3SG#بر+PREP COMP YEH COP3SG#N$برتری+PREP SG COP3SG#
ازبرستم	N$برس+PREP SG PRO2SG COP1SG#برست+PREP SG COP1SG#PREP SG PRO1SG#
ازبرش	AJ$بر+PREP POS PRO3SG#N$برش+PREP SG#بر+PREP SG PRO3SG#
ازبرم	AJ$بر+PREP POS COP1SG#PREP POS PRO1SG#N$برم+PREP SG#بر+PREP SG COP1SG#PREP SG PRO1SG#
ازبرون	N$برون+PREP SG#
ازبن	N$بن+PREP SG#
ازبند	N$بند+PREP SG#
ازبنده	N$بنده+PREP SG#
ازبنده‌ی	N$بنده+PREP SG EZ#PREP SG COP2SG#
ازبندگان	N$بنده+PREP PL#بندگان+PREP SG#
ازبندگی	N$بندگی+PREP SG#
ازبندگیست	N$بندگی+PREP SG COP3SG#
ازبنه	N$بنه+PREP SG#
ازبهر	N$بهر+PREP SG#
ازبوی	N$بو+PREP SG EZ#PREP SG COP2SG#بوی+PREP SG#
ازبک	AJ$ازبک+POS#N$ازبک+SG#بک+PREP SG#
ازبیم	N$بیم+PREP SG#
ازبی‌خوابی	AJ$بی‌خواب+PREP POS YEH#PREP POS COP2SG#N$بی‌خوابی+PREP SG#
ازبی‌نیازی	AJ$بی‌نیاز+PREP POS YEH#PREP POS COP2SG#N$بی‌نیازی+PREP SG#
ازتازیان	AJ$تازیان+PREP POS#N$تازی+PREP PL#
ازتخمه‌ی	N$تخمه+PREP SG EZ#PREP SG COP2SG#
ازتر	AJ$+PREP COMP#تر+PREP POS#N$تر+PREP SG#
ازترک	AJ$ترک+PREP POS#N$ترک+PREP SG#
ازتری	AJ$+PREP COMP YEH#PREP COMP COP2SG#تر+PREP POS YEH#PREP POS COP2SG#N$تری+PREP SG#تر+PREP SG COP2SG#PREP SG YEH#
ازتست	AJ$+PREP POS PRO2SG COP3SG#N$تس+PREP SG PRO2SG#+PREP SG PRO2SG COP3SG#از+SG PRO2SG COP3SG#ناشنوائیان+PREP PL PRO2SG COP3SG#ازت+SG COP3SG#تست+PREP SG#ت+PREP SG COP3SG#
ازتشنگی	N$تشنگی+PREP SG#
ازتن	N$تن+PREP SG#
ازتنگ	AJ$تنگ+PREP POS#N$تنگ+PREP SG#
ازتو	N$تو+PREP SG#
ازتیغ	N$تیغ+PREP SG#
ازثمر	N$ثمر+PREP SG#
ازجادویی	N$جادو+PREP SG YEH#
ازجای	N$جای+PREP SG#جا+PREP SG EZ#PREP SG COP2SG#
ازجنگ	N$جنگ+PREP SG#
ازجهان	AJ$جهان+PREP POS#N$جهان+PREP SG#
ازجوانی	AJ$جوان+PREP POS YEH#PREP POS COP2SG#N$جوانی+PREP SG#جوان+PREP SG COP2SG#PREP SG YEH#جو+PREP PL YEH#PREP PL COP2SG#
ازحد	N$حد+PREP SG#
ازحرص	N$حرص+PREP SG#
ازحق	AJ$حق+PREP POS#N$حق+PREP SG#
ازخار	AJ$خار+PREP POS#N$خار+PREP SG#
ازخداوند	N$خداوند+PREP SG#
ازخرد	AJ$خرد+PREP POS#N$خرد+PREP SG#
ازخسر	N$خسر+PREP SG#
ازخسروان	N$خسرو+PREP PL#
ازخشم	N$خشم+PREP SG#خش+PREP SG COP1SG#PREP SG PRO1SG#
ازخشک	AJ$خشک+PREP POS#
